,INSTNM,BRANCH,Address,City,State,ZIP,sector_cd,Sector_desc,men_total,women_total,Total,RAPE16,FONDL16,ROBBE16,AGG_A16,geo_address
1603,The University of Tampa,Main Campus,401 West Kennedy Blvd.,Tampa,FL,336061490,2,"Private nonprofit, 4-year or above",3465.0,4767.0,8232.0,3,0,0,3,"The University of Tampa, 401 West Kennedy Blvd., Tampa, FL, 336061490"
1653,Bainbridge State College,Bainbridge State College,P.O. Box 990 - 2500 E SHOTWELL ST,BAINBRIDGE,GA,39819,1,"Public, 4-year or above",743.0,1725.0,2468.0,0,2,0,0,"Bainbridge State College, P.O. Box 990 - 2500 E SHOTWELL ST, BAINBRIDGE, GA, 39819"
1680,Columbus State University,Columbus State University,4225 UNIVERSITY AVE,COLUMBUS,GA,319075645,1,"Public, 4-year or above",3418.0,4989.0,8407.0,3,3,1,2,"Columbus State University, 4225 UNIVERSITY AVE, COLUMBUS, GA, 319075645"
1681,Columbus State University,RiverPark Campus,901 Front Avenue,Columbus,GA,31901,1,"Public, 4-year or above",3418.0,4989.0,8407.0,1,0,0,2,"Columbus State University, 901 Front Avenue, Columbus, GA, 31901"
1693,East Georgia State College,Main Campus,131 COLLEGE CIRCLE,SWAINSBORO,GA,30401,1,"Public, 4-year or above",1321.0,1831.0,3152.0,2,0,0,1,"East Georgia State College, 131 COLLEGE CIRCLE, SWAINSBORO, GA, 30401"
1695,East Georgia State College,East Geogia State College-AU,2500 Walton Way,Augusta,GA,30904,1,"Public, 4-year or above",1321.0,1831.0,3152.0,1,0,1,0,"East Georgia State College, 2500 Walton Way, Augusta, GA, 30904"
1697,Emory University,Main Campus,201 Dowman Drive,ATLANTA,GA,30322,2,"Private nonprofit, 4-year or above",5891.0,8176.0,14067.0,6,5,3,5,"Emory University, 201 Dowman Drive, ATLANTA, GA, 30322"
1698,Emory University,Emory University Hospital Midtown Campus,"550 Peachtree Street, N. E.",Atlanta,GA,30308,2,"Private nonprofit, 4-year or above",5891.0,8176.0,14067.0,0,0,0,1,"Emory University, 550 Peachtree Street, N. E., Atlanta, GA, 30308"
1700,Emory University,Emory University Grady Area Campus,"80 Jessie Hill Jr. Drive, S. E.",Atlanta,GA,30303,2,"Private nonprofit, 4-year or above",5891.0,8176.0,14067.0,0,0,1,0,"Emory University, 80 Jessie Hill Jr. Drive, S. E., Atlanta, GA, 30303"
1711,Georgia Institute of Technology-Main Campus,Main Campus,225 NORTH AVE NW,ATLANTA,GA,30332,1,"Public, 4-year or above",18556.0,8283.0,26839.0,5,10,8,4,"Georgia Institute of Technology-Main Campus, 225 NORTH AVE NW, ATLANTA, GA, 30332"
1712,Georgia Institute of Technology-Main Campus,Georgia Tech Lorraine,2 Rue Marconi,Metz,,57070,1,"Public, 4-year or above",18556.0,8283.0,26839.0,0,1,0,0,
1721,Georgia State University,Main Campus,PO Box 3965,ATLANTA,GA,303023965,1,"Public, 4-year or above",13081.0,19156.0,32237.0,4,0,8,7,"Georgia State University, PO Box 3965, ATLANTA, GA, 303023965"
1724,Georgia State University,Clarkston Campus,555 N. Indian Creek Drive,Clarkston,GA,30021,1,"Public, 4-year or above",13081.0,19156.0,32237.0,0,0,2,0,"Georgia State University, 555 N. Indian Creek Drive, Clarkston, GA, 30021"
1725,Georgia State University,Dunwoody Campus,2101 Womack Road,Dunwoody,GA,30338,1,"Public, 4-year or above",13081.0,19156.0,32237.0,0,1,0,1,"Georgia State University, 2101 Womack Road, Dunwoody, GA, 30338"
1742,Lanier Technical College,Forsyth Campus,3410 Ronald Reagan Blvd,Cumming,GA,30041,4,"Public, 2-year",1516.0,2110.0,3626.0,0,1,0,0,"Lanier Technical College, 3410 Ronald Reagan Blvd, Cumming, GA, 30041"
1762,Mercer University,Macon Campus,1501 Mercer University Drive,Macon,GA,31207,2,"Private nonprofit, 4-year or above",3179.0,5436.0,8615.0,10,1,2,0,"Mercer University, 1501 Mercer University Drive, Macon, GA, 31207"
1763,Mercer University,Atlanta Campus,3001 Mercer University Drive,Atlanta,GA,30341,2,"Private nonprofit, 4-year or above",3179.0,5436.0,8615.0,1,0,0,0,"Mercer University, 3001 Mercer University Drive, Atlanta, GA, 30341"
1770,Oglethorpe University,Oglethorpe University,4484 PEACHTREE RD NE,ATLANTA,GA,303192797,2,"Private nonprofit, 4-year or above",512.0,672.0,1184.0,3,2,0,0,"Oglethorpe University, 4484 PEACHTREE RD NE, ATLANTA, GA, 303192797"
1771,Paine College,Paine College,1235 15TH ST,AUGUSTA,GA,309013182,2,"Private nonprofit, 4-year or above",212.0,290.0,502.0,0,0,0,5,"Paine College, 1235 15TH ST, AUGUSTA, GA, 309013182"
1780,Savannah College of Art and Design,Main Campus - Savannah,342 BULL ST,SAVANNAH,GA,314023146,2,"Private nonprofit, 4-year or above",4195.0,8169.0,12364.0,4,1,1,2,"Savannah College of Art and Design, 342 BULL ST, SAVANNAH, GA, 314023146"
1801,Young Harris College,Young Harris College,1 College Street,YOUNG HARRIS,GA,30582,2,"Private nonprofit, 4-year or above",525.0,675.0,1200.0,1,0,0,1,"Young Harris College, 1 College Street, YOUNG HARRIS, GA, 30582"
1802,Chaminade University of Honolulu,Chaminade University of Honolulu,3140 WAIALAE AVE,HONOLULU,HI,968161578,2,"Private nonprofit, 4-year or above",714.0,1563.0,2277.0,0,0,1,1,"Chaminade University of Honolulu, 3140 WAIALAE AVE, HONOLULU, HI, 968161578"
1810,Honolulu Community College,Honolulu CC Main Campus,874 DILLINGHAM BLVD,HONOLULU,HI,96817,4,"Public, 2-year",2287.0,1616.0,3903.0,0,0,0,1,"Honolulu Community College, 874 DILLINGHAM BLVD, HONOLULU, HI, 96817"
1867,School of the Art Institute of Chicago,Main Campus,37 S. Wabash Avenue,CHICAGO,IL,606033002,2,"Private nonprofit, 4-year or above",991.0,2578.0,3569.0,1,0,0,0,"School of the Art Institute of Chicago, 37 S. Wabash Avenue, CHICAGO, IL, 606033002"
1879,Bethany Theological Seminary,Earlham  College,615 National Road West,Richmond,IN,473744019,2,"Private nonprofit, 4-year or above",24.0,25.0,49.0,1,0,0,0,"Bethany Theological Seminary, 615 National Road West, Richmond, IN, 473744019"
1933,DePaul University,Main Campus - Lincoln Park Campus,2345 N. Sheffield,CHICAGO,IL,60614,2,"Private nonprofit, 4-year or above",10975.0,12135.0,23110.0,9,1,1,0,"DePaul University, 2345 N. Sheffield, CHICAGO, IL, 60614"
1934,DePaul University,Loop Campus,1 E. Jackson,Chicago,IL,606042287,2,"Private nonprofit, 4-year or above",10975.0,12135.0,23110.0,2,2,0,3,"DePaul University, 1 E. Jackson, Chicago, IL, 606042287"
1936,DePaul University,Rosalind Franklin Campus,3333 Green Bay Road,North Chicago,IL,600643095,2,"Private nonprofit, 4-year or above",10975.0,12135.0,23110.0,0,3,0,1,"DePaul University, 3333 Green Bay Road, North Chicago, IL, 600643095"
1964,University of Illinois at Chicago,University of Illinois at Chicago - Chicago Campus East,"601 S. Morgan St., Suite 2801, M/C102",Chicago,IL,60607,1,"Public, 4-year or above",13719.0,15401.0,29120.0,2,4,5,0,"University of Illinois at Chicago, 601 S. Morgan St., Suite 2801, M/C102, Chicago, IL, 60607"
1966,University of Illinois at Chicago,UIC Peoria Regional Campus,"One Illini Drive, Box 1649",Peoria,IL,61656,1,"Public, 4-year or above",13719.0,15401.0,29120.0,0,0,0,2,"University of Illinois at Chicago, One Illini Drive, Box 1649, Peoria, IL, 61656"
1967,University of Illinois at Chicago,University of Illinois at Chicago - Chicago Campus West,"601 S. Morgan St., Suite 2801, M/C102",Chicago,IL,60612,1,"Public, 4-year or above",13719.0,15401.0,29120.0,0,0,0,4,"University of Illinois at Chicago, 601 S. Morgan St., Suite 2801, M/C102, Chicago, IL, 60612"
1969,University of Illinois at Chicago,UIC Urbana-Champaign Regional Campus,901 West Illinois Street,Urbana,IL,61801,1,"Public, 4-year or above",13719.0,15401.0,29120.0,1,1,0,0,"University of Illinois at Chicago, 901 West Illinois Street, Urbana, IL, 61801"
1971,Benedictine University,Main Campus,5700 COLLEGE RD,LISLE,IL,605320900,2,"Private nonprofit, 4-year or above",2188.0,3704.0,5892.0,2,0,0,24,"Benedictine University, 5700 COLLEGE RD, LISLE, IL, 605320900"
1974,Benedictine University,Springfield,1500 N. 5th Street,Springfield,IL,62702,2,"Private nonprofit, 4-year or above",2188.0,3704.0,5892.0,0,0,0,4,"Benedictine University, 1500 N. 5th Street, Springfield, IL, 62702"
1979,Illinois Wesleyan University,Main Campus,1312 N PARK ST,BLOOMINGTON,IL,617022900,2,"Private nonprofit, 4-year or above",821.0,950.0,1771.0,6,1,0,1,"Illinois Wesleyan University, 1312 N PARK ST, BLOOMINGTON, IL, 617022900"
1984,Illinois College,Main Campus,1101 W COLLEGE AVE,JACKSONVILLE,IL,626502299,2,"Private nonprofit, 4-year or above",452.0,508.0,960.0,5,0,0,1,"Illinois College, 1101 W COLLEGE AVE, JACKSONVILLE, IL, 626502299"
2043,Loyola University Chicago,Lake Shore Campus,1032 W. Sheridan Rd.,CHICAGO,IL,60626,2,"Private nonprofit, 4-year or above",5587.0,10835.0,16422.0,3,2,0,0,"Loyola University Chicago, 1032 W. Sheridan Rd., CHICAGO, IL, 60626"
2044,Loyola University Chicago,Water Tower Campus,820 N. Michigan Avenue,Chicago,IL,606119810,2,"Private nonprofit, 4-year or above",5587.0,10835.0,16422.0,1,2,0,0,"Loyola University Chicago, 820 N. Michigan Avenue, Chicago, IL, 606119810"
2057,McKendree University,Main Campus,701 COLLEGE RD,LEBANON,IL,622541299,2,"Private nonprofit, 4-year or above",1243.0,1659.0,2902.0,2,0,2,0,"McKendree University, 701 COLLEGE RD, LEBANON, IL, 622541299"
2063,Moody Bible Institute,Chicago Campus,820 N LaSalle Blvd,Chicago,IL,606103284,2,"Private nonprofit, 4-year or above",2062.0,1539.0,3601.0,1,1,1,4,"Moody Bible Institute, 820 N LaSalle Blvd, Chicago, IL, 606103284"
2064,Moody Bible Institute,Spokane,611 E. Indina Avenue,Spokane,WA,99207,2,"Private nonprofit, 4-year or above",2062.0,1539.0,3601.0,0,0,0,2,"Moody Bible Institute, 611 E. Indina Avenue, Spokane, WA, 99207"
2089,Northwestern University,Main Campus,633 CLARK ST,EVANSTON,IL,602081320,2,"Private nonprofit, 4-year or above",11336.0,10487.0,21823.0,13,1,0,1,"Northwestern University, 633 CLARK ST, EVANSTON, IL, 602081320"
2090,Northwestern University,Chicago Campus,710 N. Lake Shore Drive,Chicago,IL,606113078,2,"Private nonprofit, 4-year or above",11336.0,10487.0,21823.0,2,0,1,2,"Northwestern University, 710 N. Lake Shore Drive, Chicago, IL, 606113078"
2093,Northwestern University,"Education City, Qatar","Northwestern University in Qatar, P.O. Box 34102",Doha,,,2,"Private nonprofit, 4-year or above",11336.0,10487.0,21823.0,0,2,0,1,
2095,Oakton Community College,Main Campus,1600 E GOLF RD,DES PLAINES,IL,600161268,4,"Public, 2-year",4572.0,4871.0,9443.0,0,1,0,0,"Oakton Community College, 1600 E GOLF RD, DES PLAINES, IL, 600161268"
2096,Oakton Community College,Ray Hartstein Skokie Campus,7701 Lincloln Avenue,Skokie,IL,60077,4,"Public, 2-year",4572.0,4871.0,9443.0,0,1,0,0,"Oakton Community College, 7701 Lincloln Avenue, Skokie, IL, 60077"
2101,Parkland College,Main Campus,2400 W BRADLEY AVE,CHAMPAIGN,IL,618211899,4,"Public, 2-year",3530.0,4039.0,7569.0,0,3,0,0,"Parkland College, 2400 W BRADLEY AVE, CHAMPAIGN, IL, 618211899"
2131,Dominican University,Main Campus,7900 W Division St.,River Forest,IL,60305,2,"Private nonprofit, 4-year or above",1027.0,2495.0,3522.0,1,0,0,0,"Dominican University, 7900 W Division St., River Forest, IL, 60305"
2132,Dominican University,Priory Campus,7200 w. Division,River Forest,IL,60305,2,"Private nonprofit, 4-year or above",1027.0,2495.0,3522.0,0,1,0,0,"Dominican University, 7200 w. Division, River Forest, IL, 60305"
2162,Southern Illinois University-Edwardsville,Edwardsville Campus,IL State Rte 157,EDWARDSVILLE,IL,620261001,1,"Public, 4-year or above",6479.0,7663.0,14142.0,2,1,0,3,"Southern Illinois University-Edwardsville, IL State Rte 157, EDWARDSVILLE, IL, 620261001"
2164,Southern Illinois University-Edwardsville,SIUE School of Nursing Program at Carbondale,600 Agricultural Drive,Carbondale,IL,62901,1,"Public, 4-year or above",6479.0,7663.0,14142.0,0,0,0,1,"Southern Illinois University-Edwardsville, 600 Agricultural Drive, Carbondale, IL, 62901"
2173,Trinity International University-Illinois,Deerfield Campus,2065 HALF DAY RD,DEERFIELD,IL,600151283,2,"Private nonprofit, 4-year or above",1349.0,765.0,2114.0,1,0,0,1,"Trinity International University-Illinois, 2065 HALF DAY RD, DEERFIELD, IL, 600151283"
2182,Wheaton College,Main Campus,501 E COLLEGE AVE,WHEATON,IL,601875593,2,"Private nonprofit, 4-year or above",1326.0,1575.0,2901.0,0,1,0,0,"Wheaton College, 501 E COLLEGE AVE, WHEATON, IL, 601875593"
2240,Indiana University-Purdue University-Indianapolis,Main Campus,301 University Blvd.,INDIANAPOLIS,IN,462022896,1,"Public, 4-year or above",13114.0,16690.0,29804.0,4,1,4,22,"Indiana University-Purdue University-Indianapolis, 301 University Blvd., INDIANAPOLIS, IN, 462022896"
2242,Indiana University-Purdue University-Indianapolis,IUSM - Bloomington,1001 East 3rd Street,Bloomington,IN,47405,1,"Public, 4-year or above",13114.0,16690.0,29804.0,15,9,2,1,"Indiana University-Purdue University-Indianapolis, 1001 East 3rd Street, Bloomington, IN, 47405"
2243,Indiana University-Purdue University-Indianapolis,IUSM - Evansville,8600 University Blvd,Evansville,IN,47712,1,"Public, 4-year or above",13114.0,16690.0,29804.0,3,4,1,0,"Indiana University-Purdue University-Indianapolis, 8600 University Blvd, Evansville, IN, 47712"
2244,Indiana University-Purdue University-Indianapolis,IUSM - Ft. Wayne,2101 Coliseum Blvd. East,Fort Wayne,IN,46805,1,"Public, 4-year or above",13114.0,16690.0,29804.0,2,2,0,0,"Indiana University-Purdue University-Indianapolis, 2101 Coliseum Blvd. East, Fort Wayne, IN, 46805"
2245,Indiana University-Purdue University-Indianapolis,IUSM -  West Lafayette,715 Clinic Dr.,West Lafayette,IN,47907,1,"Public, 4-year or above",13114.0,16690.0,29804.0,19,11,2,4,"Indiana University-Purdue University-Indianapolis, 715 Clinic Dr., West Lafayette, IN, 47907"
2246,Indiana University-Purdue University-Indianapolis,IUSM - Muncie,221 N. Celia Avenue,Muncie,IN,47306,1,"Public, 4-year or above",13114.0,16690.0,29804.0,13,10,0,0,"Indiana University-Purdue University-Indianapolis, 221 N. Celia Avenue, Muncie, IN, 47306"
2248,Indiana University-Purdue University-Indianapolis,IUSM - South Bend,1234 Notre Dame Avenue,South Bend,IN,46617,1,"Public, 4-year or above",13114.0,16690.0,29804.0,11,0,0,2,"Indiana University-Purdue University-Indianapolis, 1234 Notre Dame Avenue, South Bend, IN, 46617"
2249,Indiana University-Purdue University-Indianapolis,IUSM - Terre Haute,620 N. Chestnut Street,Terre Haute,IN,47809,1,"Public, 4-year or above",13114.0,16690.0,29804.0,5,3,3,9,"Indiana University-Purdue University-Indianapolis, 620 N. Chestnut Street, Terre Haute, IN, 47809"
2261,University of Indianapolis,UNIVERSITY OF INDIANAPOLIS,1400 E HANNA AVE,INDIANAPOLIS,IN,462273697,2,"Private nonprofit, 4-year or above",1861.0,3850.0,5711.0,0,2,0,1,"University of Indianapolis, 1400 E HANNA AVE, INDIANAPOLIS, IN, 462273697"
2298,Marian University,Marian University,3200 COLD SPRING RD,INDIANAPOLIS,IN,462221997,2,"Private nonprofit, 4-year or above",1300.0,1865.0,3165.0,3,0,0,0,"Marian University, 3200 COLD SPRING RD, INDIANAPOLIS, IN, 462221997"
2325,University of Saint Francis-Fort Wayne,University of Saint Francis,2701 Spring Street,Fort Wayne,IN,468083994,2,"Private nonprofit, 4-year or above",642.0,1570.0,2212.0,0,0,0,1,"University of Saint Francis-Fort Wayne, 2701 Spring Street, Fort Wayne, IN, 468083994"
2339,Buena Vista University,Main Campus and GPS sites,610 W 4TH ST,STORM LAKE,IA,50588,2,"Private nonprofit, 4-year or above",674.0,1440.0,2114.0,3,4,0,0,"Buena Vista University, 610 W 4TH ST, STORM LAKE, IA, 50588"
2345,Coe College,Main Campus,1220 FIRST AVE NE,CEDAR RAPIDS,IA,524025092,2,"Private nonprofit, 4-year or above",600.0,806.0,1406.0,13,0,0,1,"Coe College, 1220 FIRST AVE NE, CEDAR RAPIDS, IA, 524025092"
2346,Cornell College,Main Campus,600 FIRST ST SW,Mount Vernon,IA,523141098,2,"Private nonprofit, 4-year or above",491.0,487.0,978.0,8,2,0,0,"Cornell College, 600 FIRST ST SW, Mount Vernon, IA, 523141098"
2348,Des Moines Area Community College,Des Moines Area Com. Col. - Ankeny Campus,2006 South Ankeny Blvd.,Ankeny,IA,500238995,4,"Public, 2-year",10291.0,12155.0,22446.0,1,1,0,1,"Des Moines Area Community College, 2006 South Ankeny Blvd., Ankeny, IA, 500238995"
2353,Des Moines Area Community College,Des Moines Area Com. Col. - Urban Campus,1100 7th St.,Des Moines,IA,50314,4,"Public, 2-year",10291.0,12155.0,22446.0,0,0,0,2,"Des Moines Area Community College, 1100 7th St., Des Moines, IA, 50314"
2364,Ellsworth Community College,Ellsworth Community College,1100 COLLEGE AVE,IOWA FALLS,IA,50126,4,"Public, 2-year",429.0,417.0,846.0,0,1,0,1,"Ellsworth Community College, 1100 COLLEGE AVE, IOWA FALLS, IA, 50126"
2392,Iowa Lakes Community College,Iowa Lakes Community College - Estherville,300 S 18th Street,Estherville,IA,51334,4,"Public, 2-year",998.0,1124.0,2122.0,5,0,0,2,"Iowa Lakes Community College, 300 S 18th Street, Estherville, IA, 51334"
2393,Iowa Lakes Community College,Iowa Lakes Community College - Emmetsburg,3200 College Drive,Emmetsburg,IA,50536,4,"Public, 2-year",998.0,1124.0,2122.0,0,4,0,0,"Iowa Lakes Community College, 3200 College Drive, Emmetsburg, IA, 50536"
2432,Morningside College,Main Campus,1501 MORNINGSIDE AVE,SIOUX CITY,IA,511061751,2,"Private nonprofit, 4-year or above",898.0,2004.0,2902.0,1,0,0,0,"Morningside College, 1501 MORNINGSIDE AVE, SIOUX CITY, IA, 511061751"
2494,Waldorf College,Main Campus-Waldorf University,106 S. SIXTH ST,FOREST CITY,IA,50436,3,"Private for-profit, 4-year or above",1444.0,783.0,2227.0,0,0,0,1,"Waldorf College, 106 S. SIXTH ST, FOREST CITY, IA, 50436"
2529,Cowley County Community College,Main Campus,125 S SECOND ST,ARKANSAS CITY,KS,67005,4,"Public, 2-year",1218.0,1721.0,2939.0,0,1,0,0,"Cowley County Community College, 125 S SECOND ST, ARKANSAS CITY, KS, 67005"
2531,Donnelly College,Donnelly College,608 N 18TH ST,KANSAS CITY,KS,66102,2,"Private nonprofit, 4-year or above",115.0,274.0,389.0,0,0,1,0,"Donnelly College, 608 N 18TH ST, KANSAS CITY, KS, 66102"
2560,University of Kansas,Main Campus (Lawrence),1450 Jayhawk Boulevard,LAWRENCE,KS,66045,1,"Public, 4-year or above",13032.0,14533.0,27565.0,6,6,1,0,"University of Kansas, 1450 Jayhawk Boulevard, LAWRENCE, KS, 66045"
2562,University of Kansas,Medical Center (Kansas City),3901 Rainbow Blvd,Kansas City,KS,66160,1,"Public, 4-year or above",13032.0,14533.0,27565.0,0,2,0,14,"University of Kansas, 3901 Rainbow Blvd, Kansas City, KS, 66160"
2621,Berea College,Main Campus,101 Chestnut Street,BEREA,KY,404042184,2,"Private nonprofit, 4-year or above",725.0,940.0,1665.0,12,1,0,0,"Berea College, 101 Chestnut Street, BEREA, KY, 404042184"
2685,University of Kentucky,University of KY,104 Administration Drive,LEXINGTON,KY,405060032,1,"Public, 4-year or above",13555.0,16226.0,29781.0,17,3,4,1,"University of Kentucky, 104 Administration Drive, LEXINGTON, KY, 405060032"
2687,University of Kentucky,North Farms Campus,1925 Research Farm Road,Lexington,KY,40511,1,"Public, 4-year or above",13555.0,16226.0,29781.0,1,17,0,13,"University of Kentucky, 1925 Research Farm Road, Lexington, KY, 40511"
2722,Sullivan College of Technology and Design,Sullivan College of Technology and Design,3901 ATKINSON SQUARE DR,LOUISVILLE,KY,402184528,3,"Private for-profit, 4-year or above",261.0,115.0,376.0,1,0,0,0,"Sullivan College of Technology and Design, 3901 ATKINSON SQUARE DR, LOUISVILLE, KY, 402184528"
2775,Spencerian College-Louisville,Spencerian College,4627 DIXIE HWY,LOUISVILLE,KY,40216,3,"Private for-profit, 4-year or above",57.0,359.0,416.0,1,0,0,0,"Spencerian College-Louisville, 4627 DIXIE HWY, LOUISVILLE, KY, 40216"
2776,Sullivan University,Main Campus,3101 Bardstown Road,Louisville,KY,402053013,3,"Private for-profit, 4-year or above",1462.0,2000.0,3462.0,1,0,0,0,"Sullivan University, 3101 Bardstown Road, Louisville, KY, 402053013"
2842,Loyola University New Orleans,Main Campus,6363 ST CHARLES AVE,NEW ORLEANS,LA,701186143,2,"Private nonprofit, 4-year or above",1343.0,2336.0,3679.0,4,0,0,0,"Loyola University New Orleans, 6363 ST CHARLES AVE, NEW ORLEANS, LA, 701186143"
2843,Loyola University New Orleans,Broadway Campus,7214 St. Charles Avenue,New Orleans,LA,70118,2,"Private nonprofit, 4-year or above",1343.0,2336.0,3679.0,1,0,0,0,"Loyola University New Orleans, 7214 St. Charles Avenue, New Orleans, LA, 70118"
2859,Northwestern State University of Louisiana,Main Campus,UNIVERSITY PARKWAY,NATCHITOCHES,LA,71497,1,"Public, 4-year or above",2950.0,6869.0,9819.0,5,3,2,2,"Northwestern State University of Louisiana, UNIVERSITY PARKWAY, NATCHITOCHES, LA, 71497"
2860,Northwestern State University of Louisiana,"Shreveport School of Nursing in Shreveport, LA.",1800 Line Ave,Shreveport,LA,71101,1,"Public, 4-year or above",2950.0,6869.0,9819.0,0,0,0,1,"Northwestern State University of Louisiana, 1800 Line Ave, Shreveport, LA, 71101"
2896,Southern University at Shreveport,SOUTHERN UNIVERSITY SHREVEPORT,3050 MARTIN LUTHER KING DRIVE,SHREVEPORT,LA,71107,4,"Public, 2-year",1133.0,2107.0,3240.0,1,0,0,1,"Southern University at Shreveport, 3050 MARTIN LUTHER KING DRIVE, SHREVEPORT, LA, 71107"
2903,Tulane University of Louisiana,Main Campus,6823 ST CHARLES AVE,NEW ORLEANS,LA,701185698,2,"Private nonprofit, 4-year or above",5442.0,7139.0,12581.0,15,2,1,0,"Tulane University of Louisiana, 6823 ST CHARLES AVE, NEW ORLEANS, LA, 701185698"
2904,Tulane University of Louisiana,Tulane University Health Sciences Center Campus,1430 Tulane Avenue,New Orleans,LA,701122632,2,"Private nonprofit, 4-year or above",5442.0,7139.0,12581.0,0,0,1,2,"Tulane University of Louisiana, 1430 Tulane Avenue, New Orleans, LA, 701122632"
2943,University of New England,Main Campus,11 HILLS BEACH RD,BIDDEFORD,ME,04005,2,"Private nonprofit, 4-year or above",2248.0,6015.0,8263.0,1,3,0,0,"University of New England, 11 HILLS BEACH RD, BIDDEFORD, ME, 04005"
2945,University of New England,University of New England Tangier Morocco,Rue Abi Chouaib Doukkali,Tangier,,90000,2,"Private nonprofit, 4-year or above",2248.0,6015.0,8263.0,0,1,0,0,
2961,Allegany College of Maryland,Main Campus,12401 WILLOWBROOK RD SE,CUMBERLAND,MD,215022596,4,"Public, 2-year",1012.0,1918.0,2930.0,0,0,1,0,"Allegany College of Maryland, 12401 WILLOWBROOK RD SE, CUMBERLAND, MD, 215022596"
2981,Coppin State University,Coppin State University,2500 W NORTH AVE,BALTIMORE,MD,212163698,1,"Public, 4-year or above",699.0,2240.0,2939.0,0,0,2,1,"Coppin State University, 2500 W NORTH AVE, BALTIMORE, MD, 212163698"
2994,Johns Hopkins University,"JHU  HOMEWOOD  CAMPUS, BALTIMORE, MARYLAND",3400 N CHARLES ST,BALTIMORE,MD,212182688,2,"Private nonprofit, 4-year or above",11325.0,12592.0,23917.0,5,1,1,2,"Johns Hopkins University, 3400 N CHARLES ST, BALTIMORE, MD, 212182688"
2995,Johns Hopkins University,"Johns Hopkins Medical Institutions, Baltimore, Md.",550 N. Broadway,Baltimore,MD,21205,2,"Private nonprofit, 4-year or above",11325.0,12592.0,23917.0,1,2,3,3,"Johns Hopkins University, 550 N. Broadway, Baltimore, MD, 21205"
3000,Johns Hopkins University,"JHU Washington Centers, DC","1619, 1625, 1717, 1740 & Massachusetts Ave   NW",Washington,DC,200361903,2,"Private nonprofit, 4-year or above",11325.0,12592.0,23917.0,0,0,1,0,"Johns Hopkins University, 1619, 1625, 1717, 1740 & Massachusetts Ave   NW, Washington, DC, 200361903"
3002,Johns Hopkins University,Peabody Institute of Johns Hopkins University,1 East Mt. Vernon Place,Baltimore,MD,212022308,2,"Private nonprofit, 4-year or above",11325.0,12592.0,23917.0,0,1,0,0,"Johns Hopkins University, 1 East Mt. Vernon Place, Baltimore, MD, 212022308"
3006,Johns Hopkins University,Bayview Medical Center,4940 Eastern Ave,Baltimore,MD,21224,2,"Private nonprofit, 4-year or above",11325.0,12592.0,23917.0,0,1,0,0,"Johns Hopkins University, 4940 Eastern Ave, Baltimore, MD, 21224"
3014,University of Maryland-University College,Adelphi,3501 University Blvd East,Adelphi,MD,207838010,1,"Public, 4-year or above",31075.0,26454.0,57529.0,0,0,1,0,"University of Maryland-University College, 3501 University Blvd East, Adelphi, MD, 207838010"
3021,University of Maryland-University College,Waldorf Center for Higher Education,3261 Old Washington Road,Waldorf,MD,20602,1,"Public, 4-year or above",31075.0,26454.0,57529.0,0,0,1,0,"University of Maryland-University College, 3261 Old Washington Road, Waldorf, MD, 20602"
3049,Montgomery College,Montgomery College:Main Campus,51 Mannakee St,ROCKVILLE,MD,20850,4,"Public, 2-year",11255.0,12661.0,23916.0,0,0,1,0,"Montgomery College, 51 Mannakee St, ROCKVILLE, MD, 20850"
3050,Montgomery College,Montgomery College:Takoma Park/Silver Spring,7600 Takoma Avenue,Takoma Park,MD,20912,4,"Public, 2-year",11255.0,12661.0,23916.0,0,1,0,0,"Montgomery College, 7600 Takoma Avenue, Takoma Park, MD, 20912"
3051,Montgomery College,Montgomery College:Germantown,20200 Observation Drive,Germantown,MD,20876,4,"Public, 2-year",11255.0,12661.0,23916.0,0,0,1,0,"Montgomery College, 20200 Observation Drive, Germantown, MD, 20876"
3053,Mount St Mary's University,Main Campus,16300 OLD EMMITSBURG RD,EMMITSBURG,MD,21727,2,"Private nonprofit, 4-year or above",1058.0,1128.0,2186.0,0,1,0,1,"Mount St Mary's University, 16300 OLD EMMITSBURG RD, EMMITSBURG, MD, 21727"
3071,Stevenson University,Stevenson University Owings Mills Campus,100 Campus Circle,Owings Mills,MD,211177803,2,"Private nonprofit, 4-year or above",1363.0,2759.0,4122.0,3,0,0,0,"Stevenson University, 100 Campus Circle, Owings Mills, MD, 211177803"
3077,Hult International Business School,Boston Campus,1 Education St,Cambridge,MA,021411805,2,"Private nonprofit, 4-year or above",1614.0,1229.0,2843.0,0,0,1,0,"Hult International Business School, 1 Education St, Cambridge, MA, 021411805"
3079,Hult International Business School,London Undergraduate Campus,33-35 Commercial Road,London,,E1 1LD,2,"Private nonprofit, 4-year or above",1614.0,1229.0,2843.0,0,0,1,0,
3083,Hult International Business School,New York Campus,41 Coope Sq,New York,NY,10003,2,"Private nonprofit, 4-year or above",1614.0,1229.0,2843.0,1,0,1,0,"Hult International Business School, 41 Coope Sq, New York, NY, 10003"
3085,Amherst College,Main Campus,Boltwood Avenue,AMHERST,MA,010025000,2,"Private nonprofit, 4-year or above",922.0,927.0,1849.0,5,3,0,0,"Amherst College, Boltwood Avenue, AMHERST, MA, 010025000"
