,INSTNM,BRANCH,Address,City,State,ZIP,sector_cd,Sector_desc,men_total,women_total,Total,RAPE16,FONDL16,ROBBE16,AGG_A16,geo_address,lat_lng,lat,long
2524,Cloud County Community College,Concordia Campus,"2221 Campus Drive, Box 1002",Concordia,KS,669011002,4,"Public, 2-year",844.0,1194.0,2038.0,0,1,0,0,"Cloud County Community College, 2221 Campus Drive, Box 1002, Concordia, KS 669011002","[39.5543949, -97.66498419999999]",39.5543949,-97.6649842
2525,Coffeyville Community College,Main Campus,400 W 11TH ST,COFFEYVILLE,KS,673375064,4,"Public, 2-year",904.0,799.0,1703.0,1,0,0,0,"Coffeyville Community College, 400 W 11TH ST, COFFEYVILLE, KS 673375064","[37.0336933, -95.6221297]",37.0336933,-95.6221297
2529,Cowley County Community College,Main Campus,125 S SECOND ST,ARKANSAS CITY,KS,67005,4,"Public, 2-year",1218.0,1721.0,2939.0,0,1,0,0,"Cowley County Community College, 125 S SECOND ST, ARKANSAS CITY, KS 67005","[37.0612917, -97.04175339999999]",37.0612917,-97.0417534
2531,Donnelly College,Donnelly College,608 N 18TH ST,KANSAS CITY,KS,66102,2,"Private nonprofit, 4-year or above",115.0,274.0,389.0,0,0,1,0,"Donnelly College, 608 N 18TH ST, KANSAS CITY, KS 66102","[39.112333, -94.6503]",39.112333,-94.6503
2534,Fort Hays State University,Main Campus,600 PARK ST,HAYS,KS,676014099,1,"Public, 4-year or above",5719.0,8939.0,14658.0,3,1,0,4,"Fort Hays State University, 600 PARK ST, HAYS, KS 676014099","[38.8714459, -99.3444883]",38.8714459,-99.3444883
2535,Barclay College,Barclay College Main Campus,607 N KINGMAN,HAVILAND,KS,67059,2,"Private nonprofit, 4-year or above",159.0,133.0,292.0,0,0,1,0,"Barclay College, 607 N KINGMAN, HAVILAND, KS 67059","[37.620996, -99.10488699999999]",37.620996,-99.104887
2540,Garden City Community College,Main Campus,801 CAMPUS DRIVE,GARDEN CITY,KS,67846,4,"Public, 2-year",944.0,1109.0,2053.0,1,2,0,0,"Garden City Community College, 801 CAMPUS DRIVE, GARDEN CITY, KS 67846","[37.97079799999999, -100.849507]",37.970798,-100.849507
2545,Highland Community College,Highland Community College - Main Campus,606 W MAIN,HIGHLAND,KS,660354165,4,"Public, 2-year",1464.0,1840.0,3304.0,0,2,0,1,"Highland Community College, 606 W MAIN, HIGHLAND, KS 660354165","[39.85998800000001, -95.27158639999999]",39.859988,-95.2715864
2546,Hutchinson Community College,Main Campus,1300 N. Plum St.,Hutchinson,KS,67501,4,"Public, 2-year",2738.0,3128.0,5866.0,1,0,0,0,"Hutchinson Community College, 1300 N. Plum St., Hutchinson, KS 67501","[38.068019, -97.920531]",38.068019,-97.920531
2547,Independence Community College,Independence Community College,1057 West College,INDEPENDENCE,KS,673010708,4,"Public, 2-year",527.0,548.0,1075.0,1,0,1,0,"Independence Community College, 1057 West College, INDEPENDENCE, KS 673010708","[37.1947118, -95.7193149]",37.1947118,-95.7193149
2548,Johnson County Community College,Main Campus,12345 COLLEGE BLVD,OVERLAND PARK,KS,662101299,4,"Public, 2-year",8963.0,10176.0,19139.0,0,3,0,1,"Johnson County Community College, 12345 COLLEGE BLVD, OVERLAND PARK, KS 662101299","[38.92318720000001, -94.7303012]",38.9231872,-94.7303012
2555,Kansas City Kansas Community College,KCKCC CAMPUS,7250 STATE AVE,KANSAS CITY,KS,66112,4,"Public, 2-year",2315.0,3411.0,5726.0,1,1,0,2,"Kansas City Kansas Community College, 7250 STATE AVE, KANSAS CITY, KS 66112","[39.12191500000001, -94.74880499999999]",39.121915,-94.748805
2560,University of Kansas,Main Campus (Lawrence),1450 Jayhawk Boulevard,LAWRENCE,KS,66045,1,"Public, 4-year or above",13032.0,14533.0,27565.0,6,6,1,0,"University of Kansas, 1450 Jayhawk Boulevard, LAWRENCE, KS 66045","[38.9543439, -95.2557961]",38.9543439,-95.2557961
2562,University of Kansas,Medical Center (Kansas City),3901 Rainbow Blvd,Kansas City,KS,66160,1,"Public, 4-year or above",13032.0,14533.0,27565.0,0,2,0,14,"University of Kansas, 3901 Rainbow Blvd, Kansas City, KS 66160","[39.0560977, -94.6101621]",39.0560977,-94.6101621
2567,Kansas State University,Main Campus,110 ANDERSON HALL,MANHATTAN,KS,665061303,1,"Public, 4-year or above",12093.0,11686.0,23779.0,5,5,0,2,"Kansas State University, 110 ANDERSON HALL, MANHATTAN, KS 665061303","[39.1861282, -96.58076729999999]",39.1861282,-96.5807673
2571,Washburn Institute of Technology,Washburn Institute of Technology,5724 HUNTOON,TOPEKA,KS,66604,7,"Public, less-than 2-year",807.0,528.0,1335.0,0,0,0,1,"Washburn Institute of Technology, 5724 HUNTOON, TOPEKA, KS 66604","[39.0451844, -95.7512232]",39.0451844,-95.7512232
2576,McPherson College,McPherson College Main Campus,1600 E EUCLID,MCPHERSON,KS,674601402,2,"Private nonprofit, 4-year or above",457.0,260.0,717.0,0,0,0,1,"McPherson College, 1600 E EUCLID, MCPHERSON, KS 674601402","[38.3721279, -97.64202689999999]",38.3721279,-97.6420269
2577,MidAmerica Nazarene University,Main Campus,2030 E. COLLEGE WAY,OLATHE,KS,660621899,2,"Private nonprofit, 4-year or above",653.0,1169.0,1822.0,0,0,0,2,"MidAmerica Nazarene University, 2030 E. COLLEGE WAY, OLATHE, KS 660621899","[38.8760668, -94.7823676]",38.8760668,-94.7823676
2586,Pratt Community College,Main Campus,348 NE SR 61,PRATT,KS,67124,4,"Public, 2-year",559.0,632.0,1191.0,0,1,0,0,"Pratt Community College, 348 NE SR 61, PRATT, KS 67124","[37.654772, -98.7142932]",37.654772,-98.7142932
2589,University of Saint Mary,University of Saint Mary,4100 S 4TH ST TRAFFICWAY,LEAVENWORTH,KS,660485082,2,"Private nonprofit, 4-year or above",566.0,843.0,1409.0,1,0,0,0,"University of Saint Mary, 4100 S 4TH ST TRAFFICWAY, LEAVENWORTH, KS 660485082","[39.2783084, -94.9063137]",39.2783084,-94.9063137
2591,Seward County Community College and Area Technical School,Seward County Community College,1801 N. Kansas Ave.,Liberal,KS,679051137,4,"Public, 2-year",827.0,1100.0,1927.0,0,1,1,0,"Seward County Community College and Area Technical School, 1801 N. Kansas Ave., Liberal, KS 679051137","[37.0597435, -100.9187093]",37.0597435,-100.9187093
2598,Washburn University,WASHBURN UNIVERSITY,1700 SW COLLEGE AVENUE,TOPEKA,KS,666211110,1,"Public, 4-year or above",2666.0,3970.0,6636.0,0,3,1,0,"Washburn University, 1700 SW COLLEGE AVENUE, TOPEKA, KS 666211110","[39.0333113, -95.7017075]",39.0333113,-95.7017075
2602,Wichita State University,Main Campus,1845 FAIRMOUNT,WICHITA,KS,672600001,1,"Public, 4-year or above",6643.0,7523.0,14166.0,2,2,0,1,"Wichita State University, 1845 FAIRMOUNT, WICHITA, KS 672600001","[37.7193933, -97.29286929999999]",37.7193933,-97.2928693
2612,Asbury University,ASBURY UNIVERSITY,One Macklem Drive,WILMORE,KY,403901198,2,"Private nonprofit, 4-year or above",724.0,1130.0,1854.0,1,2,0,0,"Asbury University, One Macklem Drive, WILMORE, KY 403901198","[37.8636408, -84.6648724]",37.8636408,-84.6648724
2620,Bellarmine University,Main Campus,2001 NEWBURG RD,LOUISVILLE,KY,402050671,2,"Private nonprofit, 4-year or above",1229.0,2744.0,3973.0,0,1,0,0,"Bellarmine University, 2001 NEWBURG RD, LOUISVILLE, KY 402050671","[38.2184666, -85.7046817]",38.2184666,-85.7046817
2621,Berea College,Main Campus,101 Chestnut Street,BEREA,KY,404042184,2,"Private nonprofit, 4-year or above",725.0,940.0,1665.0,12,1,0,0,"Berea College, 101 Chestnut Street, BEREA, KY 404042184","[37.5695232, -84.2932355]",37.5695232,-84.2932355
2636,Campbellsville University,Main Campus,1 UNIVERSITY DR,CAMPBELLSVILLE,KY,427182799,2,"Private nonprofit, 4-year or above",1597.0,2078.0,3675.0,1,0,0,3,"Campbellsville University, 1 UNIVERSITY DR, CAMPBELLSVILLE, KY 427182799","[37.3430956, -85.3494324]",37.3430956,-85.3494324
2642,Bluegrass Community and Technical College,Bluegrass Community & Technical College--Cooper Campus,470 Cooper Drive,Lexington,KY,405060235,4,"Public, 2-year",4216.0,5724.0,9940.0,7,0,4,0,"Bluegrass Community and Technical College, 470 Cooper Drive, Lexington, KY 405060235","[38.0247912, -84.5037084]",38.0247912,-84.5037084
2647,Centre College,Main Campus,600 W WALNUT ST,DANVILLE,KY,404221394,2,"Private nonprofit, 4-year or above",701.0,729.0,1430.0,7,1,0,0,"Centre College, 600 W WALNUT ST, DANVILLE, KY 404221394","[37.6456916, -84.7815059]",37.6456916,-84.7815059
2653,Eastern Kentucky University,Main Campus,521 Lancaster Avenue,Richmond,KY,404753102,1,"Public, 4-year or above",7014.0,9867.0,16881.0,14,2,1,0,"Eastern Kentucky University, 521 Lancaster Avenue, Richmond, KY 404753102","[37.7353214, -84.298672]",37.7353214,-84.298672
2660,Georgetown College,Georgetown College,400 EAST COLLEGE ST,GEORGETOWN,KY,40324,2,"Private nonprofit, 4-year or above",574.0,952.0,1526.0,2,0,0,0,"Georgetown College, 400 EAST COLLEGE ST, GEORGETOWN, KY 40324","[38.2070067, -84.5543228]",38.2070067,-84.5543228
2662,Hazard Community and Technical College,Hazard Community and Technical College,One Community College Dr.,HAZARD,KY,417012402,4,"Public, 2-year",1563.0,1712.0,3275.0,0,0,1,0,"Hazard Community and Technical College, One Community College Dr., HAZARD, KY 417012402","[37.2346958, -83.1759538]",37.2346958,-83.1759538
2687,University of Kentucky,North Farms Campus,1925 Research Farm Road,Lexington,KY,40511,1,"Public, 4-year or above",13555.0,16226.0,29781.0,1,17,0,13,"University of Kentucky, 1925 Research Farm Road, Lexington, KY 40511","[38.1047854, -84.4884661]",38.1047854,-84.4884661
2693,Kentucky Christian University,Main Campus,100 ACADEMIC PKY,GRAYSON,KY,411432205,2,"Private nonprofit, 4-year or above",272.0,284.0,556.0,0,0,3,1,"Kentucky Christian University, 100 ACADEMIC PKY, GRAYSON, KY 411432205","[38.3410097, -82.9473853]",38.3410097,-82.9473853
2695,Lindsey Wilson College,Lindsey Wilson College,210 LINDSEY WILSON ST,COLUMBIA,KY,427281223,2,"Private nonprofit, 4-year or above",939.0,1649.0,2588.0,1,1,0,0,"Lindsey Wilson College, 210 LINDSEY WILSON ST, COLUMBIA, KY 427281223","[37.1027852, -85.3015101]",37.1027852,-85.3015101
2722,Sullivan College of Technology and Design,Sullivan College of Technology and Design,3901 ATKINSON SQUARE DR,LOUISVILLE,KY,402184528,3,"Private for-profit, 4-year or above",261.0,115.0,376.0,1,0,0,0,"Sullivan College of Technology and Design, 3901 ATKINSON SQUARE DR, LOUISVILLE, KY 402184528","[38.2005446, -85.68886979999999]",38.2005446,-85.6888698
2727,Madisonville Community College,Main Campus,2000 College Drive,Madisonville,KY,424319199,4,"Public, 2-year",1475.0,1869.0,3344.0,1,0,0,0,"Madisonville Community College, 2000 College Drive, Madisonville, KY 424319199","[37.3642736, -87.5130755]",37.3642736,-87.5130755
2734,Morehead State University,Morehead State University,150 University Blvd,Morehead,KY,40351,1,"Public, 4-year or above",4235.0,6511.0,10746.0,4,0,0,0,"Morehead State University, 150 University Blvd, Morehead, KY 40351","[38.1888804, -83.4311778]",38.1888804,-83.4311778
2735,Murray State University,Main Campus,218 WELLS HALL,MURRAY,KY,42071,1,"Public, 4-year or above",4336.0,6150.0,10486.0,12,2,0,2,"Murray State University, 218 WELLS HALL, MURRAY, KY 42071","[36.6163842, -88.3214979]",36.6163842,-88.3214979
2745,Northern Kentucky University,Main Campus,"Nunn Drive, AC 800B",Highland Heights,KY,41076,1,"Public, 4-year or above",6145.0,8397.0,14542.0,3,0,0,3,"Northern Kentucky University, Nunn Drive, AC 800B, Highland Heights, KY 41076","[39.0318034, -84.4643828]",39.0318034,-84.4643828
2748,West Kentucky Community and Technical College,West Kentucky Community & Technical College,4810 ALBEN BARKLEY DRIVE,PADUCAH,KY,420027380,4,"Public, 2-year",2757.0,3308.0,6065.0,0,1,0,0,"West Kentucky Community and Technical College, 4810 ALBEN BARKLEY DRIVE, PADUCAH, KY 420027380","[37.0540329, -88.6587254]",37.0540329,-88.6587254
2775,Spencerian College-Louisville,Spencerian College,4627 DIXIE HWY,LOUISVILLE,KY,40216,3,"Private for-profit, 4-year or above",57.0,359.0,416.0,1,0,0,0,"Spencerian College-Louisville, 4627 DIXIE HWY, LOUISVILLE, KY 40216","[38.23214, -85.63130799999999]",38.23214,-85.631308
2780,Transylvania University,Transylvania University,300 N BROADWAY,LEXINGTON,KY,405081797,2,"Private nonprofit, 4-year or above",401.0,562.0,963.0,1,1,1,0,"Transylvania University, 300 N BROADWAY, LEXINGTON, KY 405081797","[38.053147, -84.4936508]",38.053147,-84.4936508
2784,Western Kentucky University,Western Kentucky University - Main Campus,1906 College Heights Blvd #11050,Bowling Green,KY,421011050,1,"Public, 4-year or above",8326.0,11945.0,20271.0,2,1,0,0,"Western Kentucky University, 1906 College Heights Blvd #11050, Bowling Green, KY 421011050","[36.9853543, -86.456138]",36.9853543,-86.456138
2813,Delgado Community College,Main Campus,615 City Park Avenue,New Orleans,LA,701194399,4,"Public, 2-year",4820.0,10290.0,15110.0,0,1,0,1,"Delgado Community College, 615 City Park Avenue, New Orleans, LA 701194399","[29.9868008, -90.1039172]",29.9868008,-90.1039172
2826,Grambling State University,GRAMBLING STATE UNIVERSITY,100 FOUNDER STREET,GRAMBLING,LA,71245,1,"Public, 4-year or above",1916.0,2947.0,4863.0,3,0,5,12,"Grambling State University, 100 FOUNDER STREET, GRAMBLING, LA 71245","[32.5212912, -92.71929569999999]",32.5212912,-92.7192957
2831,Louisiana State University Health Sciences Center-New Orleans,Main Campus,433 BOLIVAR ST,NEW ORLEANS,LA,701122223,1,"Public, 4-year or above",955.0,1803.0,2758.0,0,0,1,0,"Louisiana State University Health Sciences Center-New Orleans, 433 BOLIVAR ST, NEW ORLEANS, LA 701122223","[29.9572962, -90.0832621]",29.9572962,-90.0832621
2832,Louisiana State University-Alexandria,Main Campus,8100 HWY 71 SOUTH,ALEXANDRIA,LA,713029121,1,"Public, 4-year or above",1087.0,2189.0,3276.0,0,0,1,0,"Louisiana State University-Alexandria, 8100 HWY 71 SOUTH, ALEXANDRIA, LA 713029121","[31.178112, -92.41433669999999]",31.178112,-92.4143367
2833,Louisiana State University and Agricultural & Mechanical College,Main Campus,"University Administration BLDG, 3810 W. Lakeshore Drive",BATON ROUGE,LA,70808,1,"Public, 4-year or above",14884.0,16525.0,31409.0,8,3,3,6,"Louisiana State University and Agricultural & Mechanical College, University Administration BLDG, 3810 W. Lakeshore Drive, BATON ROUGE, LA 70808","[30.4148203, -91.1692747]",30.4148203,-91.1692747
2834,Louisiana State University-Eunice,Main Campus,2048 JOHNSON HWY,EUNICE,LA,70535,4,"Public, 2-year",876.0,2030.0,2906.0,0,1,0,1,"Louisiana State University-Eunice, 2048 JOHNSON HWY, EUNICE, LA 70535","[30.474628, -92.43471079999999]",30.474628,-92.4347108
2835,Louisiana State University-Shreveport,Main Campus,ONE UNIVERSITY PLACE,SHREVEPORT,LA,711152399,1,"Public, 4-year or above",1900.0,2846.0,4746.0,0,1,0,0,"Louisiana State University-Shreveport, ONE UNIVERSITY PLACE, SHREVEPORT, LA 711152399","[32.4285844, -93.7042912]",32.4285844,-93.7042912
2841,Louisiana Tech University,Louisiana Tech University,305 Wisteria,RUSTON,LA,71272,1,"Public, 4-year or above",6409.0,6263.0,12672.0,1,0,2,1,"Louisiana Tech University, 305 Wisteria, RUSTON, LA 71272","[32.5263753, -92.6481104]",32.5263753,-92.6481104
2842,Loyola University New Orleans,Main Campus,6363 ST CHARLES AVE,NEW ORLEANS,LA,701186143,2,"Private nonprofit, 4-year or above",1343.0,2336.0,3679.0,4,0,0,0,"Loyola University New Orleans, 6363 ST CHARLES AVE, NEW ORLEANS, LA 701186143","[29.935716, -90.12037819999999]",29.935716,-90.1203782
2843,Loyola University New Orleans,Broadway Campus,7214 St. Charles Avenue,New Orleans,LA,70118,2,"Private nonprofit, 4-year or above",1343.0,2336.0,3679.0,1,0,0,0,"Loyola University New Orleans, 7214 St. Charles Avenue, New Orleans, LA 70118","[29.935716, -90.12037819999999]",29.935716,-90.1203782
2849,McNeese State University,McNeese State UIniveristy Main Campus,4205 RYAN ST,LAKE CHARLES,LA,70609,1,"Public, 4-year or above",3022.0,4599.0,7621.0,0,0,1,3,"McNeese State University, 4205 RYAN ST, LAKE CHARLES, LA 70609","[30.17836569999999, -93.21562899999999]",30.1783657,-93.215629
2850,University of New Orleans,Main Campus,2000 Lakeshore Drive,New Orleans,LA,70148,1,"Public, 4-year or above",3846.0,4191.0,8037.0,6,0,1,3,"University of New Orleans, 2000 Lakeshore Drive, New Orleans, LA 70148","[30.0285959, -90.0660365]",30.0285959,-90.0660365
2851,Nicholls State University,Main Campus,UNIVERSITY STATION  LA HWY 1,THIBODAUX,LA,70310,1,"Public, 4-year or above",2165.0,4090.0,6255.0,0,1,0,0,"Nicholls State University, UNIVERSITY STATION  LA HWY 1, THIBODAUX, LA 70310","[29.7907423, -90.8028602]",29.7907423,-90.8028602
2860,Northwestern State University of Louisiana,"Shreveport School of Nursing in Shreveport, LA.",1800 Line Ave,Shreveport,LA,71101,1,"Public, 4-year or above",2950.0,6869.0,9819.0,0,0,0,1,"Northwestern State University of Louisiana, 1800 Line Ave, Shreveport, LA 71101","[32.4940248, -93.7465878]",32.4940248,-93.7465878
2890,Southeastern Louisiana University,Main Campus,548 Ned McGehee Avenue,HAMMOND,LA,70402,1,"Public, 4-year or above",5379.0,9104.0,14483.0,1,1,3,0,"Southeastern Louisiana University, 548 Ned McGehee Avenue, HAMMOND, LA 70402","[30.5173159, -90.4688572]",30.5173159,-90.4688572
2894,Southern University and A & M College,SOUTHERN UNIVERSITY-BATON ROUGE,Southern Branch Post Office,BATON ROUGE,LA,70813,1,"Public, 4-year or above",2027.0,3850.0,5877.0,2,0,5,6,"Southern University and A & M College, Southern Branch Post Office, BATON ROUGE, LA 70813","[30.5267645, -91.1935768]",30.5267645,-91.1935768
2895,Southern University at New Orleans,Southern University at New Orleans,6400 Press Drive,New Orleans,LA,70126,1,"Public, 4-year or above",647.0,1783.0,2430.0,1,0,1,3,"Southern University at New Orleans, 6400 Press Drive, New Orleans, LA 70126","[30.0259133, -90.0449055]",30.0259133,-90.0449055
2897,University of Louisiana at Lafayette,UNIVERSITY OF LOUISIANA AT LAFAYETTE,104 UNIVERSITY CIR,LAFAYETTE,LA,70503,1,"Public, 4-year or above",7505.0,10014.0,17519.0,1,0,4,0,"University of Louisiana at Lafayette, 104 UNIVERSITY CIR, LAFAYETTE, LA 70503","[30.2114404, -92.0204121]",30.2114404,-92.0204121
2903,Tulane University of Louisiana,Main Campus,6823 ST CHARLES AVE,NEW ORLEANS,LA,701185698,2,"Private nonprofit, 4-year or above",5442.0,7139.0,12581.0,15,2,1,0,"Tulane University of Louisiana, 6823 ST CHARLES AVE, NEW ORLEANS, LA 701185698","[29.9403477, -90.12072789999999]",29.9403477,-90.1207279
2904,Tulane University of Louisiana,Tulane University Health Sciences Center Campus,1430 Tulane Avenue,New Orleans,LA,701122632,2,"Private nonprofit, 4-year or above",5442.0,7139.0,12581.0,0,0,1,2,"Tulane University of Louisiana, 1430 Tulane Avenue, New Orleans, LA 701122632","[29.9548998, -90.0769497]",29.9548998,-90.0769497
2916,College of the Atlantic,College of the Atlantic,105 EDEN ST,BAR HARBOR,ME,04609,2,"Private nonprofit, 4-year or above",92.0,252.0,344.0,1,0,0,0,"College of the Atlantic, 105 EDEN ST, BAR HARBOR, ME 04609","[44.394424, -68.2225669]",44.394424,-68.2225669
2917,Bates College,Main Campus,"2 ANDREWS ROAD, 204 LANE HALL",LEWISTON,ME,04240,2,"Private nonprofit, 4-year or above",881.0,899.0,1780.0,5,7,0,1,"Bates College, 2 ANDREWS ROAD, 204 LANE HALL, LEWISTON, ME 04240","[44.1057216, -70.2021865]",44.1057216,-70.2021865
2919,Bowdoin College,Main Campus,5700 College Station,Brunswick,ME,040118448,2,"Private nonprofit, 4-year or above",902.0,904.0,1806.0,12,6,0,0,"Bowdoin College, 5700 College Station, Brunswick, ME 040118448","[43.9070109, -69.9652364]",43.9070109,-69.9652364
2921,Central Maine Community College,Main Campus,1250 TURNER ST,Auburn,ME,042106498,4,"Public, 2-year",1411.0,1614.0,3025.0,1,0,0,0,"Central Maine Community College, 1250 TURNER ST, Auburn, ME 042106498","[44.1346305, -70.2351968]",44.1346305,-70.2351968
2922,Colby College,Main Campus,MAYFLOWER HILL DRIVE,WATERVILLE,ME,04901,2,"Private nonprofit, 4-year or above",894.0,985.0,1879.0,7,6,0,1,"Colby College, MAYFLOWER HILL DRIVE, WATERVILLE, ME 04901","[44.5638691, -69.6626362]",44.5638691,-69.6626362
2935,University of Maine at Farmington,University of Maine at Farmington,224 MAIN ST,FARMINGTON,ME,04938,1,"Public, 4-year or above",651.0,1349.0,2000.0,3,0,0,0,"University of Maine at Farmington, 224 MAIN ST, FARMINGTON, ME 04938","[44.6679585, -70.1481254]",44.6679585,-70.1481254
2938,University of Maine,University of Maine,168 College Ave,ORONO,ME,04469,1,"Public, 4-year or above",5621.0,5598.0,11219.0,25,7,1,0,"University of Maine, 168 College Ave, ORONO, ME 04469","[44.9012197, -68.6666508]",44.9012197,-68.6666508
2943,University of New England,Main Campus,11 HILLS BEACH RD,BIDDEFORD,ME,04005,2,"Private nonprofit, 4-year or above",2248.0,6015.0,8263.0,1,3,0,0,"University of New England, 11 HILLS BEACH RD, BIDDEFORD, ME 04005","[43.4582904, -70.3865402]",43.4582904,-70.3865402
2950,Saint Joseph's College of Maine,Saint Joseph's College,278 WHITES BRIDGE RD,STANDISH,ME,040845263,2,"Private nonprofit, 4-year or above",731.0,1371.0,2102.0,3,0,0,0,"Saint Joseph's College of Maine, 278 WHITES BRIDGE RD, STANDISH, ME 040845263","[43.8267427, -70.4828684]",43.8267427,-70.4828684
2952,Southern Maine Community College,Southern Maine Community College,2 FORT RD,SOUTH PORTLAND,ME,041061698,4,"Public, 2-year",2800.0,3132.0,5932.0,6,1,0,0,"Southern Maine Community College, 2 FORT RD, SOUTH PORTLAND, ME 041061698","[43.6470488, -70.2282513]",43.6470488,-70.2282513
2954,University of Southern Maine,Gorham Campus,37 College Ave.,Gorham,ME,040381038,1,"Public, 4-year or above",3122.0,4733.0,7855.0,5,1,1,0,"University of Southern Maine, 37 College Ave., Gorham, ME 040381038","[43.6825395, -70.448804]",43.6825395,-70.448804
2961,Allegany College of Maryland,Main Campus,12401 WILLOWBROOK RD SE,CUMBERLAND,MD,215022596,4,"Public, 2-year",1012.0,1918.0,2930.0,0,0,1,0,"Allegany College of Maryland, 12401 WILLOWBROOK RD SE, CUMBERLAND, MD 215022596","[39.6527555, -78.72971179999999]",39.6527555,-78.7297118
2962,Anne Arundel Community College,Anne Arundel Community College,101 COLLEGE PKY,ARNOLD,MD,210121895,4,"Public, 2-year",5710.0,8194.0,13904.0,0,1,0,0,"Anne Arundel Community College, 101 COLLEGE PKY, ARNOLD, MD 210121895","[39.0498687, -76.5135634]",39.0498687,-76.5135634
2970,Bowie State University,Main Campus,14000 JERICHO PARK RD,BOWIE,MD,207159465,1,"Public, 4-year or above",2093.0,3576.0,5669.0,0,0,2,1,"Bowie State University, 14000 JERICHO PARK RD, BOWIE, MD 207159465","[39.0192914, -76.7594039]",39.0192914,-76.7594039
2985,Frostburg State University,Main Campus,101 Braddock Road,FROSTBURG,MD,215321099,1,"Public, 4-year or above",2666.0,3010.0,5676.0,2,2,2,2,"Frostburg State University, 101 Braddock Road, FROSTBURG, MD 215321099","[39.6504683, -78.9345538]",39.6504683,-78.9345538
2986,Garrett College,Garrett College,687 MOSSER RD,MCHENRY,MD,21541,4,"Public, 2-year",372.0,382.0,754.0,0,0,0,6,"Garrett College, 687 MOSSER RD, MCHENRY, MD 21541","[39.5607328, -79.3427622]",39.5607328,-79.3427622
2987,Goucher College,Goucher College Campus,1021 DULANEY VALLEY RD,BALTIMORE,MD,212042794,2,"Private nonprofit, 4-year or above",606.0,1566.0,2172.0,8,4,1,1,"Goucher College, 1021 DULANEY VALLEY RD, BALTIMORE, MD 212042794","[39.408765, -76.59654499999999]",39.408765,-76.596545
2991,Hood College,Hood College,401 ROSEMONT AVE,FREDERICK,MD,21701,2,"Private nonprofit, 4-year or above",795.0,1349.0,2144.0,4,0,0,0,"Hood College, 401 ROSEMONT AVE, FREDERICK, MD 21701","[39.4213829, -77.4202024]",39.4213829,-77.4202024
2994,Johns Hopkins University,"JHU  HOMEWOOD  CAMPUS, BALTIMORE, MARYLAND",3400 N CHARLES ST,BALTIMORE,MD,212182688,2,"Private nonprofit, 4-year or above",11325.0,12592.0,23917.0,5,1,1,2,"Johns Hopkins University, 3400 N CHARLES ST, BALTIMORE, MD 212182688","[39.3299013, -76.6205177]",39.3299013,-76.6205177
3000,Johns Hopkins University,"JHU Washington Centers, DC","1619, 1625, 1717, 1740 & Massachusetts Ave   NW",Washington,DC,200361903,2,"Private nonprofit, 4-year or above",11325.0,12592.0,23917.0,0,0,1,0,"Johns Hopkins University, 1619, 1625, 1717, 1740 & Massachusetts Ave   NW, Washington, DC 200361903","[38.90813, -77.040279]",38.90813,-77.040279
3002,Johns Hopkins University,Peabody Institute of Johns Hopkins University,1 East Mt. Vernon Place,Baltimore,MD,212022308,2,"Private nonprofit, 4-year or above",11325.0,12592.0,23917.0,0,1,0,0,"Johns Hopkins University, 1 East Mt. Vernon Place, Baltimore, MD 212022308","[39.3299013, -76.6205177]",39.3299013,-76.6205177
3006,Johns Hopkins University,Bayview Medical Center,4940 Eastern Ave,Baltimore,MD,21224,2,"Private nonprofit, 4-year or above",11325.0,12592.0,23917.0,0,1,0,0,"Johns Hopkins University, 4940 Eastern Ave, Baltimore, MD 21224","[39.2910745, -76.54839319999999]",39.2910745,-76.5483932
3009,Loyola University Maryland,Loyola University Maryland,4501 North Charles Street,Baltimore,MD,212102699,2,"Private nonprofit, 4-year or above",2328.0,3756.0,6084.0,9,4,2,2,"Loyola University Maryland, 4501 North Charles Street, Baltimore, MD 212102699","[39.3461942, -76.62138]",39.3461942,-76.62138
3041,University of Maryland-Baltimore County,Main Campus,1000 Hilltop Circle,Baltimore,MD,21250,1,"Public, 4-year or above",7495.0,6145.0,13640.0,3,2,0,1,"University of Maryland-Baltimore County, 1000 Hilltop Circle, Baltimore, MD 21250","[39.2556129, -76.7109751]",39.2556129,-76.7109751
3042,University of Maryland-College Park,Main Campus,US Route 1,COLLEGE PARK,MD,20742,1,"Public, 4-year or above",20667.0,18416.0,39083.0,5,11,3,6,"University of Maryland-College Park, US Route 1, COLLEGE PARK, MD 20742","[38.9869183, -76.9425543]",38.9869183,-76.9425543
3045,University of Maryland Eastern Shore,Main Campus,30665 Student Service Lane,PRINCESS ANNE,MD,218531299,1,"Public, 4-year or above",1713.0,2191.0,3904.0,7,2,1,1,"University of Maryland Eastern Shore, 30665 Student Service Lane, PRINCESS ANNE, MD 218531299","[38.2102166, -75.6848002]",38.2102166,-75.6848002
3049,Montgomery College,Montgomery College:Main Campus,51 Mannakee St,ROCKVILLE,MD,20850,4,"Public, 2-year",11255.0,12661.0,23916.0,0,0,1,0,"Montgomery College, 51 Mannakee St, ROCKVILLE, MD 20850","[39.0973684, -77.15773519999999]",39.0973684,-77.1577352
3050,Montgomery College,Montgomery College:Takoma Park/Silver Spring,7600 Takoma Avenue,Takoma Park,MD,20912,4,"Public, 2-year",11255.0,12661.0,23916.0,0,1,0,0,"Montgomery College, 7600 Takoma Avenue, Takoma Park, MD 20912","[38.9834899, -77.0212411]",38.9834899,-77.0212411
