,INSTNM,BRANCH,Address,City,State,ZIP,sector_cd,Sector_desc,men_total,women_total,Total,RAPE15,FONDL15,ROBBE15,AGG_A15,geo_address,lat_lng
1877,Chicago State University,Main Campus,9501 S. King Drive Suite ADM #313,CHICAGO,IL,606281598,1,"Public, 4-year or above",1479.0,3288.0,4767.0,0,0,2,1,"9501 S. King Drive Suite ADM #313 CHICAGO, IL",
1959,Illinois College,Main Campus,1101 W COLLEGE AVE,JACKSONVILLE,IL,626502299,2,"Private nonprofit, 4-year or above",459.0,496.0,955.0,2,0,0,0,"1101 W COLLEGE AVE JACKSONVILLE, IL",
1967,Illinois State University,Main Campus,201 S. School St. Hovey Hall rm 421 Campus Box 1000,NORMAL,IL,617901000,1,"Public, 4-year or above",9139.0,11621.0,20760.0,12,3,0,7,"201 S. School St. Hovey Hall rm 421 Campus Box 1000 NORMAL, IL",
2431,University of Northern Iowa,Main Campus,1222 W 27TH ST,CEDAR FALLS,IA,50614,1,"Public, 4-year or above",4908.0,7073.0,11981.0,3,2,0,1,"1222 W 27TH ST CEDAR FALLS, IA",
2455,La James International College-Davenport,Main Campus,5205 N. Brady Street,DAVENPORT,IA,52806,6,"Private for-profit, 2-year",5.0,66.0,71.0,0,0,0,1,"5205 N. Brady Street DAVENPORT, IA",
2464,Southwestern Community College,Main Campus,1501 West Townline Street,CRESTON,IA,50801,4,"Public, 2-year",699.0,957.0,1656.0,0,0,0,1,"1501 West Townline Street CRESTON, IA",
2592,Washburn University,WASHBURN UNIVERSITY,1700 SW COLLEGE AVENUE,TOPEKA,KS,666211110,1,"Public, 4-year or above",2688.0,3927.0,6615.0,2,1,0,0,"1700 SW COLLEGE AVENUE TOPEKA, KS",
2636,Bluegrass Community and Technical College,Bluegrass Community & Technical College-Newtown Campus,500 Newtown Pike,Lexington,KY,405081207,4,"Public, 2-year",4479.0,5909.0,10388.0,0,0,0,1,"500 Newtown Pike Lexington, KY",
2735,Northern Kentucky University,Main Campus,"Nunn Drive, AC 800B",Highland Heights,KY,41076,1,"Public, 4-year or above",6333.0,8366.0,14699.0,6,0,0,0,"Nunn Drive, AC 800B Highland Heights, KY",
2816,Grambling State University,GRAMBLING STATE UNIVERSITY,100 FOUNDER STREET,GRAMBLING,LA,71245,1,"Public, 4-year or above",1803.0,2738.0,4541.0,1,0,4,6,"100 FOUNDER STREET GRAMBLING, LA",
2838,McNeese State University,McNeese State UIniveristy Main Campus,4205 RYAN ST,LAKE CHARLES,LA,70609,1,"Public, 4-year or above",3245.0,4908.0,8153.0,0,0,1,1,"4205 RYAN ST LAKE CHARLES, LA",
3032,University of Maryland-College Park,Main Campus,US Route 1,COLLEGE PARK,MD,20742,1,"Public, 4-year or above",20361.0,17779.0,38140.0,15,14,1,1,"US Route 1 COLLEGE PARK, MD",
3040,Montgomery College,Montgomery College:Takoma Park/Silver Spring,7600 Takoma Avenue,Takoma Park,MD,20912,4,"Public, 2-year",11963.0,13357.0,25320.0,0,1,0,1,"7600 Takoma Avenue Takoma Park, MD",
3104,Boston University,Boston University Medical Campus,715 Albany Street,Boston,MA,02118,2,"Private nonprofit, 4-year or above",13301.0,18857.0,32158.0,2,3,4,27,"715 Albany Street Boston, MA",
3114,Brandeis University,Main Campus,415 South Street,Waltham,MA,024539110,2,"Private nonprofit, 4-year or above",2599.0,3153.0,5752.0,16,2,0,0,"415 South Street Waltham, MA",
3174,College of the Holy Cross,Main Campus,ONE COLLEGE STREET,WORCESTER,MA,016102395,2,"Private nonprofit, 4-year or above",1372.0,1357.0,2729.0,3,1,0,0,"ONE COLLEGE STREET WORCESTER, MA",
3281,Wellesley College,Main Campus,106 CENTRAL ST,WELLESLEY,MA,024818203,2,"Private nonprofit, 4-year or above",67.0,2443.0,2510.0,6,0,0,0,"106 CENTRAL ST WELLESLEY, MA",
3299,Aquinas College,Main Campus,1607 ROBINSON RD SE,GRAND RAPIDS,MI,495061799,2,"Private nonprofit, 4-year or above",741.0,1153.0,1894.0,2,0,0,0,"1607 ROBINSON RD SE GRAND RAPIDS, MI",
3378,Delta College,Delta College,1961 Delta Road,UNIVERSITY CENTER,MI,48710,4,"Public, 2-year",4239.0,5052.0,9291.0,0,1,0,0,"1961 Delta Road UNIVERSITY CENTER, MI",
3516,Olivet College,Main Campus,320 South Main Street,OLIVET,MI,49076,2,"Private nonprofit, 4-year or above",595.0,419.0,1014.0,1,0,0,2,"320 South Main Street OLIVET, MI",
3568,Western Michigan University,Main Campus,1903 West Michigan Avenue,Kalamazoo,MI,490085167,1,"Public, 4-year or above",11553.0,11976.0,23529.0,9,3,6,5,"1903 West Michigan Avenue Kalamazoo, MI",
3621,Hamline University,Main Campus,1536 HEWITT AVENUE,SAINT PAUL,MN,551041284,2,"Private nonprofit, 4-year or above",1625.0,2633.0,4258.0,4,4,0,0,"1536 HEWITT AVENUE SAINT PAUL, MN",
3637,Mayo Medical School,Main Campus,200 1ST ST SW,ROCHESTER,MN,55905,2,"Private nonprofit, 4-year or above",110.0,108.0,218.0,0,5,0,1,"200 1ST ST SW ROCHESTER, MN",
3676,Saint Johns University,Main Campus,Box 2000,COLLEGEVILLE,MN,563212000,2,"Private nonprofit, 4-year or above",1804.0,65.0,1869.0,3,0,0,1,"Box 2000 COLLEGEVILLE, MN",
3960,Missouri University of Science and Technology,Missouri S&T,"300 W. 13th Street, 206 Parker Hall",ROLLA,MO,654091060,1,"Public, 4-year or above",6845.0,2041.0,8886.0,0,1,1,3,"300 W. 13th Street, 206 Parker Hall ROLLA, MO",
4061,Southeast Missouri State University,Southeast Missouri State University,ONE UNIVERSITY PLZ,CAPE GIRARDEAU,MO,637019980,1,"Public, 4-year or above",5166.0,6821.0,11987.0,12,0,0,1,"ONE UNIVERSITY PLZ CAPE GIRARDEAU, MO",
4254,Wayne State College,Main Campus,1111 MAIN ST,WAYNE,NE,68787,1,"Public, 4-year or above",1458.0,1973.0,3431.0,1,0,0,1,"1111 MAIN ST WAYNE, NE",
4449,Seton Hall University,Main Campus,400 S ORANGE AVE,SOUTH ORANGE,NJ,070792697,2,"Private nonprofit, 4-year or above",4203.0,5621.0,9824.0,6,3,0,0,"400 S ORANGE AVE SOUTH ORANGE, NJ",
4493,Navajo Technical University,Navajo Technical University,"Box 849, Lower Point Road, State Road 371",CROWNPOINT,NM,873130849,1,"Public, 4-year or above",674.0,1012.0,1686.0,0,0,7,4,"Box 849, Lower Point Road, State Road 371 CROWNPOINT, NM",
