,INSTNM,BRANCH,Address,City,State,ZIP,sector_cd,Sector_desc,men_total,women_total,Total,RAPE16,FONDL16,ROBBE16,AGG_A16,geo_address,lat_lng
3123,Brandeis University,Main Campus,415 South Street,Waltham,MA,024539110,2,"Private nonprofit, 4-year or above",2499.0,3230.0,5729.0,6,2,0,0,"Brandeis University, 415 South Street, Waltham, MA 024539110",
3124,Bridgewater State University,Main Campus,131 Summer Street,BRIDGEWATER,MA,023250001,1,"Public, 4-year or above",4355.0,6643.0,10998.0,2,1,1,3,"Bridgewater State University, 131 Summer Street, BRIDGEWATER, MA 023250001",
3152,Emmanuel College,Main Campus,400 THE FENWAY,BOSTON,MA,02115,2,"Private nonprofit, 4-year or above",551.0,1639.0,2190.0,2,0,0,0,"Emmanuel College, 400 THE FENWAY, BOSTON, MA 02115",
3183,Lasell College,Main Campus,1844 COMMONWEALTH AVE,Auburndale,MA,024662716,2,"Private nonprofit, 4-year or above",705.0,1359.0,2064.0,3,0,0,0,"Lasell College, 1844 COMMONWEALTH AVE, Auburndale, MA 024662716",
3211,Merrimack College,Main Campus,315 TURNPIKE ST,NORTH ANDOVER,MA,01845,2,"Private nonprofit, 4-year or above",1864.0,2150.0,4014.0,2,1,1,3,"Merrimack College, 315 TURNPIKE ST, NORTH ANDOVER, MA 01845",
3213,Middlesex Community College,Bedford Campus,591 SPRINGS RD,BEDFORD,MA,017309124,4,"Public, 2-year",3584.0,5033.0,8617.0,0,1,0,0,"Middlesex Community College, 591 SPRINGS RD, BEDFORD, MA 017309124",
3229,Newbury College,Main Campus,129 FISHER AVE,BROOKLINE,MA,02445,2,"Private nonprofit, 4-year or above",318.0,433.0,751.0,2,0,0,0,"Newbury College, 129 FISHER AVE, BROOKLINE, MA 02445",
3234,North Shore Community College,Lynn Campus,300 Broad Street,Lynn,MA,01901,4,"Public, 2-year",2454.0,3861.0,6315.0,0,0,1,0,"North Shore Community College, 300 Broad Street, Lynn, MA 01901",
3254,Quinsigamond Community College,Main Campus,670 W BOYLSTON ST,WORCESTER,MA,016062092,4,"Public, 2-year",3310.0,4386.0,7696.0,0,3,1,0,"Quinsigamond Community College, 670 W BOYLSTON ST, WORCESTER, MA 016062092",
3257,Roxbury Community College,Main Campus,1234 COLUMBUS AVE,ROXBURY CROSSING,MA,021203400,4,"Public, 2-year",644.0,1462.0,2106.0,0,0,0,4,"Roxbury Community College, 1234 COLUMBUS AVE, ROXBURY CROSSING, MA 021203400",
3292,Westfield State University,Main Campus,577 WESTERN AVE,WESTFIELD,MA,010861630,1,"Public, 4-year or above",2835.0,3500.0,6335.0,2,5,0,1,"Westfield State University, 577 WESTERN AVE, WESTFIELD, MA 010861630",
3295,Williams College,Main Campus,880 MAIN ST. PO Box 368,WILLIAMSTOWN,MA,012670368,2,"Private nonprofit, 4-year or above",1096.0,1054.0,2150.0,13,3,0,3,"Williams College, 880 MAIN ST. PO Box 368, WILLIAMSTOWN, MA 012670368",
3299,Worcester State University,Main Campus,486 CHANDLER ST,WORCESTER,MA,016022597,1,"Public, 4-year or above",2400.0,4071.0,6471.0,6,1,0,1,"Worcester State University, 486 CHANDLER ST, WORCESTER, MA 016022597",
3300,Adrian College,Main Campus,110 S. Madison Street,Adrian,MI,49221,2,"Private nonprofit, 4-year or above",874.0,810.0,1684.0,2,0,2,0,"Adrian College, 110 S. Madison Street, Adrian, MI 49221",
3333,Central Michigan University,Main Campus,312  WARRINER HALL,MOUNT PLEASANT,MI,48859,1,"Public, 4-year or above",11060.0,14926.0,25986.0,10,6,0,0,"Central Michigan University, 312  WARRINER HALL, MOUNT PLEASANT, MI 48859",
3502,Michigan Technological University,Main Campus,1400 Townsend Drive,Houghton,MI,499311295,1,"Public, 4-year or above",5300.0,1952.0,7252.0,2,5,0,1,"Michigan Technological University, 1400 Townsend Drive, Houghton, MI 499311295",
3534,Oakland University,Main Campus,2200 North Squirrel Rd.,ROCHESTER,MI,483094401,1,"Public, 4-year or above",8696.0,11316.0,20012.0,2,0,0,2,"Oakland University, 2200 North Squirrel Rd., ROCHESTER, MI 483094401",
3559,Southwestern Michigan College,Main Campus,58900 CHERRY GROVE RD,DOWAGIAC,MI,490479793,4,"Public, 2-year",952.0,1300.0,2252.0,4,2,0,0,"Southwestern Michigan College, 58900 CHERRY GROVE RD, DOWAGIAC, MI 490479793",
3612,Riverland Community College,Main Campus,1900 8TH Ave NW,Austin,MN,55912,4,"Public, 2-year",1492.0,1710.0,3202.0,1,0,0,0,"Riverland Community College, 1900 8TH Ave NW, Austin, MN 55912",
3618,Bethel University,Bethel University,3900 BETHEL DR,Arden Hills,MN,551126999,2,"Private nonprofit, 4-year or above",1462.0,2554.0,4016.0,1,0,0,0,"Bethel University, 3900 BETHEL DR, Arden Hills, MN 551126999",
3623,Concordia College at Moorhead,Concordia College,901 S 8TH ST,MOORHEAD,MN,56562,2,"Private nonprofit, 4-year or above",878.0,1254.0,2132.0,3,1,0,0,"Concordia College at Moorhead, 901 S 8TH ST, MOORHEAD, MN 56562",
3660,Mayo School of Health Sciences,Main Campus,200 FIRST ST SW,ROCHESTER,MN,55905,2,"Private nonprofit, 4-year or above",132.0,337.0,469.0,0,0,0,1,"Mayo School of Health Sciences, 200 FIRST ST SW, ROCHESTER, MN 55905",
3665,University of Minnesota-Twin Cities,Main Campus,100 CHURCH STREET SE,MINNEAPOLIS,MN,554550213,1,"Public, 4-year or above",24601.0,26978.0,51579.0,10,8,4,5,"University of Minnesota-Twin Cities, 100 CHURCH STREET SE, MINNEAPOLIS, MN 554550213",
3670,Minneapolis Community and Technical College,Main Campus,1501 HENNEPIN AVE,MINNEAPOLIS,MN,554031779,4,"Public, 2-year",3462.0,4520.0,7982.0,1,1,0,1,"Minneapolis Community and Technical College, 1501 HENNEPIN AVE, MINNEAPOLIS, MN 554031779",
3680,North Central University,North Central University,910 ELLIOT AVE S,MINNEAPOLIS,MN,554041391,2,"Private nonprofit, 4-year or above",474.0,637.0,1111.0,0,1,0,0,"North Central University, 910 ELLIOT AVE S, MINNEAPOLIS, MN 554041391",
3722,Summit Academy Opportunities Industrialization Center,Summit Academy OIC,935 OLSON MEMORIAL HWY,MINNEAPOLIS,MN,55405,8,"Private nonprofit, less-than 2-year",182.0,130.0,312.0,0,0,0,1,"Summit Academy Opportunities Industrialization Center, 935 OLSON MEMORIAL HWY, MINNEAPOLIS, MN 55405",
3756,East Mississippi Community College,Main Campus,1512 Kemper Street,SCOOBA,MS,393580158,4,"Public, 2-year",1758.0,2147.0,3905.0,1,0,1,0,"East Mississippi Community College, 1512 Kemper Street, SCOOBA, MS 393580158",
3779,University of Mississippi,Main Campus,Kinard Hall Wing C,UNIVERSITY,MS,386771848,1,"Public, 4-year or above",10273.0,13337.0,23610.0,6,0,0,2,"University of Mississippi, Kinard Hall Wing C, UNIVERSITY, MS 386771848",
3809,William Carey University,Main Campus,710 William Carey Parkway,HATTIESBURG,MS,394015499,2,"Private nonprofit, 4-year or above",1579.0,3040.0,4619.0,0,1,0,0,"William Carey University, 710 William Carey Parkway, HATTIESBURG, MS 394015499",
3812,Assemblies of God Theological Seminary,Assembles Of God Theological Seminary,1435 N GLENSTONE AVE,SPRINGFIELD,MO,658022131,2,"Private nonprofit, 4-year or above",223.0,99.0,322.0,1,1,0,1,"Assemblies of God Theological Seminary, 1435 N GLENSTONE AVE, SPRINGFIELD, MO 658022131",
3936,Lindenwood University,Lindenwood University,209 South Kingshighway,Saint Charles,MO,633011695,2,"Private nonprofit, 4-year or above",4394.0,6356.0,10750.0,2,0,1,0,"Lindenwood University, 209 South Kingshighway, Saint Charles, MO 633011695",
3938,Lindenwood University,North County,4500 Washington,Florissant,MO,63031,2,"Private nonprofit, 4-year or above",4394.0,6356.0,10750.0,0,2,0,0,"Lindenwood University, 4500 Washington, Florissant, MO 63031",
3968,Missouri Valley College,Main Campus,500 E COLLEGE ST,MARSHALL,MO,65340,2,"Private nonprofit, 4-year or above",1005.0,804.0,1809.0,1,0,0,3,"Missouri Valley College, 500 E COLLEGE ST, MARSHALL, MO 65340",
3983,Missouri University of Science and Technology,Missouri S&T,"300 W. 13th Street, 206 Parker Hall",ROLLA,MO,654091060,1,"Public, 4-year or above",6829.0,2006.0,8835.0,4,2,0,2,"Missouri University of Science and Technology, 300 W. 13th Street, 206 Parker Hall, ROLLA, MO 654091060",
4210,Bellevue University,Main Campus,1000 GALVIN RD S,BELLEVUE,NE,680053098,2,"Private nonprofit, 4-year or above",4370.0,4526.0,8896.0,0,0,0,1,"Bellevue University, 1000 GALVIN RD S, BELLEVUE, NE 680053098",
4234,University of Nebraska at Kearney,University of Nebraska at Kearney,905 W 25TH ST,KEARNEY,NE,688491212,1,"Public, 4-year or above",2691.0,4097.0,6788.0,3,0,0,0,"University of Nebraska at Kearney, 905 W 25TH ST, KEARNEY, NE 688491212",
4264,Peru State College,Peru State College,600 Hoyt Street,Peru,NE,684210010,1,"Public, 4-year or above",1015.0,1556.0,2571.0,1,0,0,0,"Peru State College, 600 Hoyt Street, Peru, NE 684210010",
4469,Saint Peter's University,Main Campus,2641 KENNEDY BLVD,JERSEY CITY,NJ,073065997,2,"Private nonprofit, 4-year or above",1280.0,2264.0,3544.0,1,0,0,1,"Saint Peter's University, 2641 KENNEDY BLVD, JERSEY CITY, NJ 073065997",
4498,Olympian Academy of Cosmetology,"ITS Academy, Inc. #7",1101 Melbourne St  NE Mall Ste B-5A,Hurst,TX,76053,9,"Private for-profit, less-than 2-year",89.0,827.0,916.0,0,0,0,1,"Olympian Academy of Cosmetology, 1101 Melbourne St  NE Mall Ste B-5A, Hurst, TX 76053",
4509,Central New Mexico Community College,Joseph M. Montoya Campus,4700 Morris NE,Albuquerque,NM,87111,4,"Public, 2-year",10598.0,14183.0,24781.0,0,1,0,0,"Central New Mexico Community College, 4700 Morris NE, Albuquerque, NM 87111",
4578,Arnot Ogden Medical Center,Main Campus,600 ROE AVE,ELMIRA,NY,149051676,5,"Private nonprofit, 2-year",3.0,53.0,56.0,0,1,0,0,"Arnot Ogden Medical Center, 600 ROE AVE, ELMIRA, NY 149051676",
4595,Briarcliffe College,Briarcliffe College - Bohemia Campus,640 Johnson Street,Bohemia,NY,11716,3,"Private for-profit, 4-year or above",167.0,353.0,520.0,0,1,0,0,"Briarcliffe College, 640 Johnson Street, Bohemia, NY 11716",
4618,Clinton Community College,Clinton Community College,136 CLINTON POINT DR,PLATTSBURGH,NY,12901,4,"Public, 2-year",706.0,905.0,1611.0,1,0,0,0,"Clinton Community College, 136 CLINTON POINT DR, PLATTSBURGH, NY 12901",
4634,Cornell University,Endowed and Contract College Campuses,G-2 Barton Hall Cornell University,ITHACA,NY,148531701,2,"Private nonprofit, 4-year or above",11311.0,11008.0,22319.0,17,3,1,6,"Cornell University, G-2 Barton Hall Cornell University, ITHACA, NY 148531701",
4638,Weill Cornell Medical College,Qatar Campus,"PO Box 24144, Education City, Al Luqta Street",Doha,,00,2,"Private nonprofit, 4-year or above",515.0,555.0,1070.0,0,2,0,1,,
4678,CVPH Medical Center School of Radiologic Technology,Main Campus,75 BEEKMAN ST,PLATTSBURGH,NY,12901,5,"Private nonprofit, 2-year",2.0,9.0,11.0,1,0,5,2,"CVPH Medical Center School of Radiologic Technology, 75 BEEKMAN ST, PLATTSBURGH, NY 12901",
4684,Dutchess Community College,Main Campus,53 PENDELL RD,POUGHKEEPSIE,NY,126013415,4,"Public, 2-year",4287.0,5059.0,9346.0,0,1,0,0,"Dutchess Community College, 53 PENDELL RD, POUGHKEEPSIE, NY 126013415",
4696,Fordham University,Main Campus,441 E FORDHAM RD,BRONX,NY,10458,2,"Private nonprofit, 4-year or above",6201.0,9381.0,15582.0,2,6,0,1,"Fordham University, 441 E FORDHAM RD, BRONX, NY 10458",
4697,Fordham University,FORDHAM UNI-LINCOLN CENTER CAMPUS,113 W 60 ST,NEW YORK,NY,10023,2,"Private nonprofit, 4-year or above",6201.0,9381.0,15582.0,6,1,0,0,"Fordham University, 113 W 60 ST, NEW YORK, NY 10023",
4707,Genesee Community College,Genesee Community College,One College Road,BATAVIA,NY,14020,4,"Public, 2-year",2293.0,3842.0,6135.0,2,1,0,1,"Genesee Community College, One College Road, BATAVIA, NY 14020",
4755,Manhattanville College,Main Campus,2900 PURCHASE ST,PURCHASE,NY,10577,2,"Private nonprofit, 4-year or above",974.0,1860.0,2834.0,2,0,0,0,"Manhattanville College, 2900 PURCHASE ST, PURCHASE, NY 10577",
4783,Monroe Community College,Brighton,1000 E HENRIETTA RD,ROCHESTER,NY,146235780,4,"Public, 2-year",6375.0,7212.0,13587.0,5,1,1,0,"Monroe Community College, 1000 E HENRIETTA RD, ROCHESTER, NY 146235780",
4790,Nassau Community College,Main Campus,1 Education Drive,East Garden City,NY,11530,4,"Public, 2-year",9957.0,10417.0,20374.0,1,5,0,1,"Nassau Community College, 1 Education Drive, East Garden City, NY 11530",
4791,Nazareth College,Main Campus,4245 EAST AVE,ROCHESTER,NY,146183790,2,"Private nonprofit, 4-year or above",737.0,2146.0,2883.0,1,0,0,0,"Nazareth College, 4245 EAST AVE, ROCHESTER, NY 146183790",
4806,New York Law School,New York Law School,185 West Broadway,NEW YORK,NY,100132960,2,"Private nonprofit, 4-year or above",384.0,506.0,890.0,0,1,0,0,"New York Law School, 185 West Broadway, NEW YORK, NY 100132960",
4822,New York University,NYU in Abu Dhabi,P.O. Box 129188,Abu Dhabi,,,2,"Private nonprofit, 4-year or above",22152.0,28398.0,50550.0,1,1,0,0,,
4828,Niagara University,Main Campus,5795 Lewiston Road,NIAGARA UNIVERSITY,NY,14109,2,"Private nonprofit, 4-year or above",1476.0,2541.0,4017.0,6,0,0,0,"Niagara University, 5795 Lewiston Road, NIAGARA UNIVERSITY, NY 14109",
4841,Onondaga Community College,Main Campus,4585 West Seneca Turnpike,Syracuse,NY,132154585,4,"Public, 2-year",6088.0,6552.0,12640.0,1,5,2,4,"Onondaga Community College, 4585 West Seneca Turnpike, Syracuse, NY 132154585",
4861,Rensselaer Polytechnic Institute,Rensselaer Polytechnic Institute,110 8TH ST,TROY,NY,121803590,2,"Private nonprofit, 4-year or above",5030.0,2333.0,7363.0,5,0,0,1,"Rensselaer Polytechnic Institute, 110 8TH ST, TROY, NY 121803590",
4863,Roberts Wesleyan College,Roberts Wesleyan College,2301 WESTSIDE DR,ROCHESTER,NY,14624,2,"Private nonprofit, 4-year or above",476.0,1222.0,1698.0,1,0,0,0,"Roberts Wesleyan College, 2301 WESTSIDE DR, ROCHESTER, NY 14624",
4864,Rochester Institute of Technology,Main Campus,1 LOMB MEMORIAL DR,ROCHESTER,NY,146235603,2,"Private nonprofit, 4-year or above",10966.0,5541.0,16507.0,9,5,0,0,"Rochester Institute of Technology, 1 LOMB MEMORIAL DR, ROCHESTER, NY 146235603",
4868,University of Rochester,Main Campus,500 Wilson Boulevard,Rochester,NY,146270011,2,"Private nonprofit, 4-year or above",5516.0,5693.0,11209.0,5,14,0,2,"University of Rochester, 500 Wilson Boulevard, Rochester, NY 146270011",
4878,St Joseph's College of Nursing at St Joseph's Hospital Health Center,Main Campus,206 PROSPECT AVE,SYRACUSE,NY,13203,5,"Private nonprofit, 2-year",39.0,256.0,295.0,0,0,1,0,"St Joseph's College of Nursing at St Joseph's Hospital Health Center, 206 PROSPECT AVE, SYRACUSE, NY 13203",
4924,SUNY College at Cortland,Main Campus,PO BOX 2000,CORTLAND,NY,13045,1,"Public, 4-year or above",3009.0,3891.0,6900.0,2,3,0,0,"SUNY College at Cortland, PO BOX 2000, CORTLAND, NY 13045",
4973,Upstate Medical University,SUNY Upstate Medical University,750 E ADAMS ST,SYRACUSE,NY,13210,1,"Public, 4-year or above",614.0,877.0,1491.0,0,0,0,3,"Upstate Medical University, 750 E ADAMS ST, SYRACUSE, NY 13210",
4976,Syracuse University,Main Campus,900 S. Crouse Ave.,SYRACUSE,NY,13244,2,"Private nonprofit, 4-year or above",10340.0,11630.0,21970.0,12,3,0,2,"Syracuse University, 900 S. Crouse Ave., SYRACUSE, NY 13244",
4990,Teachers College at Columbia University,Main Campus,525 W 120TH ST,NEW YORK,NY,100276696,2,"Private nonprofit, 4-year or above",1127.0,3858.0,4985.0,0,1,0,0,"Teachers College at Columbia University, 525 W 120TH ST, NEW YORK, NY 100276696",
5078,Barton College,Main Campus,"200 ACC DRIVE, NE",WILSON,NC,278932575,2,"Private nonprofit, 4-year or above",302.0,749.0,1051.0,3,0,0,0,"Barton College, 200 ACC DRIVE, NE, WILSON, NC 278932575",
5214,University of North Carolina at Chapel Hill,The University of North Carolina at Chapel Hill,"CB 9100, 103 South Building UNC-Chapel Hill",CHAPEL HILL,NC,275999100,1,"Public, 4-year or above",12641.0,16827.0,29468.0,21,5,7,3,"University of North Carolina at Chapel Hill, CB 9100, 103 South Building UNC-Chapel Hill, CHAPEL HILL, NC 275999100",
5307,Wilkes Community College,Main Campus,1328 SOUTH COLLEGIATE DR,WILKESBORO,NC,28697,4,"Public, 2-year",1195.0,1414.0,2609.0,0,2,0,0,"Wilkes Community College, 1328 SOUTH COLLEGIATE DR, WILKESBORO, NC 28697",
5350,University of North Dakota,Main Campus,3851 Campus Road Stop 9035,Grand Forks,ND,582029035,1,"Public, 4-year or above",7678.0,6970.0,14648.0,3,1,0,3,"University of North Dakota, 3851 Campus Road Stop 9035, Grand Forks, ND 582029035",
5402,Case Western Reserve University,Main Campus,10900 EUCLID AVE,CLEVELAND,OH,441067004,2,"Private nonprofit, 4-year or above",5762.0,5902.0,11664.0,1,2,6,2,"Case Western Reserve University, 10900 EUCLID AVE, CLEVELAND, OH 441067004",
5506,Lake Erie College,Lake Erie College 01,391 W WASHINGTON ST,PAINESVILLE,OH,440773389,2,"Private nonprofit, 4-year or above",571.0,630.0,1201.0,1,1,0,1,"Lake Erie College, 391 W WASHINGTON ST, PAINESVILLE, OH 440773389",
5511,James A Rhodes State College,Main Campus,4240 CAMPUS DR,LIMA,OH,458044242,4,"Public, 2-year",1730.0,2845.0,4575.0,0,1,0,0,"James A Rhodes State College, 4240 CAMPUS DR, LIMA, OH 458044242",
5535,Miami University-Oxford,Miami University-Dublin Cofman,6780 Coffman Road,Dublin,OH,450171027,1,"Public, 4-year or above",9207.0,10490.0,19697.0,1,0,0,0,"Miami University-Oxford, 6780 Coffman Road, Dublin, OH 450171027",
5541,University of Mount Union,University of Mount Union,1972 CLARK AVE,ALLIANCE,OH,44601,2,"Private nonprofit, 4-year or above",1165.0,1116.0,2281.0,4,0,0,1,"University of Mount Union, 1972 CLARK AVE, ALLIANCE, OH 44601",
5558,Oberlin College,Main Campus,70 N PROFESSOR ST,OBERLIN,OH,44074,2,"Private nonprofit, 4-year or above",1266.0,1646.0,2912.0,16,2,0,0,"Oberlin College, 70 N PROFESSOR ST, OBERLIN, OH 44074",
5562,Ohio Northern University,Main Campus,525  SOUTH MAIN ST,ADA,OH,458101599,2,"Private nonprofit, 4-year or above",1569.0,1539.0,3108.0,1,3,0,0,"Ohio Northern University, 525  SOUTH MAIN ST, ADA, OH 458101599",
5563,Ohio State University Agricultural Technical Institute,Main Campus,1328 DOVER RD,WOOSTER,OH,446914000,4,"Public, 2-year",350.0,372.0,722.0,0,1,0,0,"Ohio State University Agricultural Technical Institute, 1328 DOVER RD, WOOSTER, OH 446914000",
5564,Ohio State University-Lima Campus,Ohio State University-Lima Campus,4240 CAMPUS DRIVE,LIMA,OH,45804,1,"Public, 4-year or above",468.0,571.0,1039.0,0,1,0,0,"Ohio State University-Lima Campus, 4240 CAMPUS DRIVE, LIMA, OH 45804",
5577,Ohio University-Main Campus,Ohio University - Main Campus,Cutler Hall 108,ATHENS,OH,457012979,1,"Public, 4-year or above",12437.0,17072.0,29509.0,32,10,0,1,"Ohio University-Main Campus, Cutler Hall 108, ATHENS, OH 457012979",
5583,Ohio Wesleyan University,Main Campus,61 S SANDUSKY STREET,DELAWARE,OH,430152370,2,"Private nonprofit, 4-year or above",784.0,854.0,1638.0,10,1,0,0,"Ohio Wesleyan University, 61 S SANDUSKY STREET, DELAWARE, OH 430152370",
5599,University of Rio Grande,Main Campus,218 N COLLEGE AVE,RIO GRANDE,OH,45674,2,"Private nonprofit, 4-year or above",710.0,1193.0,1903.0,1,0,0,0,"University of Rio Grande, 218 N COLLEGE AVE, RIO GRANDE, OH 45674",
5618,Franciscan University of Steubenville,"Franciscan University - Gaming Campus, Austria","Kartause 1, A-3292 Gaming, NO, Austria, Europe",Gaming,,A-3292,2,"Private nonprofit, 4-year or above",1124.0,1635.0,2759.0,1,0,0,0,,
5666,Wittenberg University,Main Campus,200 W. Ward Street,SPRINGFIELD,OH,455042199,2,"Private nonprofit, 4-year or above",883.0,1105.0,1988.0,4,6,2,0,"Wittenberg University, 200 W. Ward Street, SPRINGFIELD, OH 455042199",
5694,Langston University,Main Campus,102 Page Hall,LANGSTON,OK,730500907,1,"Public, 4-year or above",854.0,1566.0,2420.0,3,1,3,4,"Langston University, 102 Page Hall, LANGSTON, OK 730500907",
5716,Oklahoma State University-Main Campus,Oklahoma State University - Stillwater,"Whitehurst Hall, Rm. 107",Stillwater,OK,740781015,1,"Public, 4-year or above",13120.0,12502.0,25622.0,6,2,1,2,"Oklahoma State University-Main Campus, Whitehurst Hall, Rm. 107, Stillwater, OK 740781015",
5824,Oregon Institute of Technology,Main Campus,3201 Campus Drive,Klamath Falls,OR,976018801,1,"Public, 4-year or above",2696.0,2527.0,5223.0,1,0,0,0,"Oregon Institute of Technology, 3201 Campus Drive, Klamath Falls, OR 976018801",
5845,Portland Community College,Sylvania Campus,12000 SW 49th Avenue,Portland,OR,972197132,4,"Public, 2-year",13285.0,15209.0,28494.0,0,2,1,3,"Portland Community College, 12000 SW 49th Avenue, Portland, OR 972197132",
5855,Portland State University,Portland State University,PO Box 751,PORTLAND,OR,97207,1,"Public, 4-year or above",12102.0,14525.0,26627.0,11,7,5,6,"Portland State University, PO Box 751, PORTLAND, OR 97207",
5856,University of Portland,Main Campus,5000 N WILLAMETTE BLVD,PORTLAND,OR,972035798,2,"Private nonprofit, 4-year or above",1772.0,2611.0,4383.0,3,0,0,1,"University of Portland, 5000 N WILLAMETTE BLVD, PORTLAND, OR 972035798",
5883,Corban University,CORBAN UNIVERSITY,5000 DEER PARK DR SE,SALEM,OR,973179392,2,"Private nonprofit, 4-year or above",482.0,711.0,1193.0,1,1,0,0,"Corban University, 5000 DEER PARK DR SE, SALEM, OR 973179392",
5893,University of Western States,University of Western States,2900 NE 132ND AVE,PORTLAND,OR,972303099,2,"Private nonprofit, 4-year or above",394.0,570.0,964.0,0,0,1,0,"University of Western States, 2900 NE 132ND AVE, PORTLAND, OR 972303099",
5914,Allegheny College,Main Campus,520 N MAIN ST,MEADVILLE,PA,163353902,2,"Private nonprofit, 4-year or above",909.0,1011.0,1920.0,11,4,0,2,"Allegheny College, 520 N MAIN ST, MEADVILLE, PA 163353902",
5937,Bucknell University,"Bucknell University, Main Campus",1 Dent Drive,LEWISBURG,PA,17837,2,"Private nonprofit, 4-year or above",1786.0,1840.0,3626.0,11,5,0,1,"Bucknell University, 1 Dent Drive, LEWISBURG, PA 17837",
5950,Carnegie Mellon University,Qatar,Education City,Doha,,,2,"Private nonprofit, 4-year or above",7887.0,5371.0,13258.0,0,0,0,1,,
5993,Edinboro University of Pennsylvania,Main Campus,"Accounting Office, Room 230, McNerney Hall",Edinboro,PA,164440001,1,"Public, 4-year or above",2361.0,3820.0,6181.0,3,2,0,0,"Edinboro University of Pennsylvania, Accounting Office, Room 230, McNerney Hall, Edinboro, PA 164440001",
5995,Elizabethtown College,Main Campus,ONE ALPHA DR,ELIZABETHTOWN,PA,170222298,2,"Private nonprofit, 4-year or above",675.0,1109.0,1784.0,6,0,0,0,"Elizabethtown College, ONE ALPHA DR, ELIZABETHTOWN, PA 170222298",
6013,Franklin and Marshall College,Bath England Campus,"Advanced Studies in England, Nelson House, 2 Pierrepont Street",Bath,,BA1 1LB,2,"Private nonprofit, 4-year or above",1062.0,1193.0,2255.0,1,0,0,0,,
6051,King's College,Main Campus,133 N RIVER ST,WILKES-BARRE,PA,18711,2,"Private nonprofit, 4-year or above",1180.0,1242.0,2422.0,2,1,0,0,"King's College, 133 N RIVER ST, WILKES-BARRE, PA 18711",
6053,Kutztown University of Pennsylvania,Kutztown University of Pennsylvania,15200 KUTZTOWN RD    P.O. BOX   730,KUTZTOWN,PA,195300730,1,"Public, 4-year or above",3755.0,4758.0,8513.0,3,5,0,1,"Kutztown University of Pennsylvania, 15200 KUTZTOWN RD    P.O. BOX   730, KUTZTOWN, PA 195300730",
6055,La Salle University,LA SALLE UNIVERSITY,1900 W OLNEY AVE,PHILADELPHIA,PA,191411199,2,"Private nonprofit, 4-year or above",1856.0,3341.0,5197.0,6,1,2,1,"La Salle University, 1900 W OLNEY AVE, PHILADELPHIA, PA 191411199",
6113,Northampton County Area Community College,Northampton Community College -Monroe,205 Old Mill Road,Tannersville,PA,18372,4,"Public, 2-year",4098.0,5969.0,10067.0,0,0,0,1,"Northampton County Area Community College, 205 Old Mill Road, Tannersville, PA 18372",
6359,Lander University,LANDER UNIVERSITY,320 Stanley Avenue,Greenwood,SC,296492099,1,"Public, 4-year or above",850.0,1922.0,2772.0,3,0,0,0,"Lander University, 320 Stanley Avenue, Greenwood, SC 296492099",
6394,South Carolina State University,South Carolina State University,300 College St. NE,Orangeburg,SC,291170001,1,"Public, 4-year or above",1360.0,1545.0,2905.0,3,0,2,3,"South Carolina State University, 300 College St. NE, Orangeburg, SC 291170001",
6427,Augustana University,Main Campus,2001 S SUMMIT AVE,SIOUX FALLS,SD,57197,2,"Private nonprofit, 4-year or above",726.0,1211.0,1937.0,2,0,0,2,"Augustana University, 2001 S SUMMIT AVE, SIOUX FALLS, SD 57197",
6447,South Dakota State University,Main Campus,"Box 2201, ADM 324",Brookings,SD,570071998,1,"Public, 4-year or above",5904.0,6696.0,12600.0,7,4,0,1,"South Dakota State University, Box 2201, ADM 324, Brookings, SD 570071998",
6464,Bethel University,Bethel University,325 CHERRY AVE,MCKENZIE,TN,38201,2,"Private nonprofit, 4-year or above",2440.0,3535.0,5975.0,3,1,0,0,"Bethel University, 325 CHERRY AVE, MCKENZIE, TN 38201",
6497,Dyersburg State Community College,Jimmy Naifeh Tipton County Center,3149 Highway 51 South,Covington,TN,38019,4,"Public, 2-year",973.0,1843.0,2816.0,0,0,0,1,"Dyersburg State Community College, 3149 Highway 51 South, Covington, TN 38019",
6531,Lee University,Lee University,1120 N OCOEE ST,CLEVELAND,TN,373203731,2,"Private nonprofit, 4-year or above",2114.0,3188.0,5302.0,0,0,2,2,"Lee University, 1120 N OCOEE ST, CLEVELAND, TN 373203731",
6548,Middle Tennessee State University,Main Campus,1301 East Main Street,MURFREESBORO,TN,37132,1,"Public, 4-year or above",9929.0,12121.0,22050.0,3,0,2,0,"Middle Tennessee State University, 1301 East Main Street, MURFREESBORO, TN 37132",
6604,The University of Tennessee-Martin,Main Campus,UNIVERSITY ST.,MARTIN,TN,38238,1,"Public, 4-year or above",2789.0,3916.0,6705.0,1,0,0,2,"The University of Tennessee-Martin, UNIVERSITY ST., MARTIN, TN 38238",
6624,Vanderbilt University,Main Campus,2101 WEST END AVENUE,NASHVILLE,TN,37240,2,"Private nonprofit, 4-year or above",5735.0,6852.0,12587.0,11,15,2,5,"Vanderbilt University, 2101 WEST END AVENUE, NASHVILLE, TN 37240",
6655,Austin Community College District,Rio Grande Campus,1212 Rio Grande Street,Austin,TX,78701,4,"Public, 2-year",18726.0,22817.0,41543.0,0,0,0,1,"Austin Community College District, 1212 Rio Grande Street, Austin, TX 78701",
